36:1	Das|this ist|is das|the Geschlecht|genealogy Esaus|of-Esau der|who da|is heißt|called Edom|Edom
36:12	Und|and Thimna|Timna war|was ein|a Kebsweib|concubine des|of Eliphas|Eliphaz Esaus|Esau's Sohnes|son die|she gebar|bore ihm|to-him Amalek|Amalek Das|these sind|are die|the Kinder|sons von|of Ada|Adah Esaus|Esau's Weib|wife
36:13	Die|the Kinder|sons aber|now Reguels|of-Reuel sind|are diese|these Nahath|Nahath Serah|Zerah Samma|Shammah Missa|Mizzah Das|these sind|are die|the Kinder|sons von|of Basmath|Basemath Esaus|Esau's Weib|wife
36:14	Die|the Kinder|sons aber|now von|of Oholibama|Oholibamah Esaus|Esau's Weib|wife der|the Tochter|daughter des|of Ana|Anah der|the Enkelin|granddaughter Zibeons|of-Zibeon sind|are diese|these die|whom sie|she dem|to Esau|Esau gebar|bore Jehus|Jeush Jaelam|Jalam und|and Korah|Korah
36:15	Das|these sind|are die|the Fürsten|chiefs unter|among den|the Kindern|sons Esaus|of-Esau Die|the Kinder|sons des|of Eliphas|Eliphaz des|the ersten|firstborn Sohnes|son Esaus|of-Esau der|chief Fürst|chief Theman|Teman der|chief Fürst|chief Omar|Omar der|chief Fürst|chief Zepho|Zepho der|chief Fürst|chief Kenaz|Kenaz
36:16	der|chief Fürst|chief Korah|Korah der|chief Fürst|chief Gaetham|Gatam der|chief Fürst|chief Amalek|Amalek Das|these sind|are die|the Fürsten|chiefs von|of Eliphas|Eliphaz im|in-the Lande|land Edom|of-Edom und|and sind|are Kinder|sons der|of Ada|Adah
36:17	Und|and das|these sind|are die|the Kinder|sons Reguels|of-Reuel Esaus|Esau's Sohnes|son der|chief Fürst|chief Nahath|Nahath der|chief Fürst|chief Serah|Zerah der|chief Fürst|chief Samma|Shammah der|chief Fürst|chief Missa|Mizzah Das|these sind|are die|the Fürsten|chiefs von|of Reguel|Reuel im|in-the Lande|land der|of-the Edomiter|Edomites und|and sind|are Kinder|sons von|of der|the Basmath|Basemath Esaus|Esau's Weib|wife
36:18	Das|these sind|are die|the Kinder|sons Oholibamas|of-Oholibamah Esaus|Esau's Weibes|wife der|chief Fürst|chief Jehus|Jeush der|chief Fürst|chief Jaelam|Jalam der|chief Fürst|chief Korah|Korah Das|these sind|are die|the Fürsten|chiefs von|of Oholibama|Oholibamah der|the Tochter|daughter des|of Ana|Anah Esaus|Esau's Weib|wife
36:19	Das|these sind|are die|the Kinder|sons und|and ihre|their Fürsten|chiefs Er|he ist|is der|that-is Edom|Edom
36:20	Die|the Kinder|sons aber|now von|of Seir|Seir dem|the Horiter|Horite die|who im|in-the Lande|land wohnten|dwelt sind|are diese|these Lotan|Lotan Sobal|Shobal Zibeon|Zibeon Ana|Anah Dison|Dishon Ezer|Ezer und|and Disan|Dishan
36:21	Das|these sind|are die|the Fürsten|chiefs der|of-the Horiter|Horites Kinder|sons des|of Seir|Seir im|in-the Lande|land Edom|of-Edom
36:22	Aber|now des|of Lotan|Lotan Kinder|sons waren|were diese|these Hori|Hori Heman|Hemam und|and Lotans|Lotan's Schwester|sister hieß|was Thimna|Timna
36:23	Die|the Kinder|sons von|of Sobal|Shobal waren|were diese|these Alwan|Alvan Manahath|Manahath Ebal|Ebal Sepho|Shepho und|and Onam|Onam
36:24	Die|the Kinder|sons von|of Zibeon|Zibeon waren|were diese|these Aja|Aiah und|and Ana|Anah Das|this ist|is der|the Ana|Anah der|who in|in der|the Wüste|wilderness die|the warmen|hot Quellen|springs fand|found da|when er|he seines|his Vaters|father's Zibeon|Zibeon Esel|donkeys hütete|pastured
36:25	Die|the Kinder|sons aber|now Anas|of-Anah waren|were Dison|Dishon und|and Oholibama|Oholibamah das|that ist|is die|the Tochter|daughter Anas|of-Anah
36:26	Die|the Kinder|sons Disons|of-Dishon waren|were Hemdan|Hemdan Esban|Eshban Jethran|Ithran und|and Cheran|Cheran
36:27	Die|the Kinder|sons Ezers|of-Ezer waren|were Bilhan|Bilhan Sawan|Zaavan und|and Akan|Akan
36:28	Die|the Kinder|sons Disans|of-Dishan waren|were Uz|Uz und|and Aran|Aran
36:29	Dies|these sind|are die|the Fürsten|chiefs der|of-the Horiter|Horites der|chief Fürst|chief Lotan|Lotan der|chief Fürst|chief Sobal|Shobal der|chief Fürst|chief Zibeon|Zibeon der|chief Fürst|chief Ana|Anah
36:30	der|chief Fürst|chief Dison|Dishon der|chief Fürst|chief Ezer|Ezer der|chief Fürst|chief Disan|Dishan Das|these sind|are die|the Fürsten|chiefs der|of-the Horiter|Horites die|who regiert|ruled haben|did im|in-the Lande|land Seir|of-Seir
36:31	Die|the Könige|kings aber|now die|who im|in-the Lande|land Edom|of-Edom regiert|reigned haben|did ehe|before denn|that die|the Kinder|children Israel|of-Israel Könige|kings hatten|had sind|are diese|these
36:32	Bela|Bela war|was König|king in|in Edom|Edom ein|a Sohn|son Beors|of-Beor und|and seine|his Stadt|city hieß|was-called Dinhaba|Dinhabah
36:33	Und|and da|when Bela|Bela starb|died ward|became König|king an|in seiner|his Statt|place Jobab|Jobab ein|a Sohn|son Serahs|of-Zerah von|from Bozra|Bozrah
36:34	Da|when Jobab|Jobab starb|died ward|became an|in seiner|his Statt|place König|king Husam|Husham aus|from der|the Themaniter|Temanites' Lande|land
36:35	Da|when Husam|Husham starb|died ward|became König|king an|in seiner|his Statt|place Hadad|Hadad ein|a Sohn|son Bedads|of-Bedad der|who die|the Midianiter|Midianites schlug|defeated auf|in der|the Moabiter|Moab's Felde|field und|and seine|his Stadt|city hieß|was-called Awith|Avith
36:36	Da|when Hadad|Hadad starb|died regierte|reigned Samla|Samlah von|from Masrek|Masrekah
36:37	Da|when Samla|Samlah starb|died ward|became Saul|Shaul König|king von|from Rehoboth|Rehoboth am|on-the Strom|river
36:38	Da|when Saul|Shaul starb|died ward|became an|in seiner|his Statt|place König|king Baal-Hanan|Baal-hanan der|the Sohn|son Achbors|of-Achbor
36:39	Da|when Baal-Hanan|Baal-hanan Achbors|Achbor's Sohn|son starb|died ward|became an|in seiner|his Statt|place König|king Hadar|Hadar und|and seine|his Stadt|city hieß|was-called Pau|Pau und|and sein|his Weib|wife Mehetabeel|Mehetabel eine|a Tochter|daughter Matreds|of-Matred die|the Mesahabs|Me-zahab's Tochter|daughter war|was
36:40	Also|these heißen|are-named die|the Fürsten|chiefs von|of Esau|Esau in|by ihren|their Geschlechtern|clans Örtern|places und|and Namen|names der|chief Fürst|chief Thimna|Timna der|chief Fürst|chief Alwa|Alvah der|chief Fürst|chief Jetheth|Jetheth
36:41	der|chief Fürst|chief Oholibama|Oholibamah der|chief Fürst|chief Ela|Elah der|chief Fürst|chief Pinon|Pinon
36:42	der|chief Fürst|chief Kenaz|Kenaz der|chief Fürst|chief Theman|Teman der|chief Fürst|chief Mibzar|Mibzar
36:43	der|chief Fürst|chief Magdiel|Magdiel der|chief Fürst|chief Iram|Iram Das|these sind|are die|the Fürsten|chiefs in|of Edom|Edom wie|as sie|they gewohnt|settled haben|were in|in ihrem|their Erblande|possession Das|this ist|is Esau|Esau der|the Vater|father der|of-the Edomiter|Edomites
37:1	Jakob|Jacob aber|now wohnte|dwelt im|in-the Lande|land darin|where sein|his Vater|father ein|a Fremdling|sojourner gewesen|had-been war|was im|in-the Lande|land Kanaan|of-Canaan
37:2	Und|and dies|this sind|is die|the Geschlechter|account Jakobs|of-Jacob Joseph|Joseph war|was siebzehn|seventeen Jahre|years alt|old da|when er|he ein|a Hirte|shepherd des|of-the Viehs|flock ward|was mit|with seinen|his Brüdern|brothers und|and der|the Knabe|young-man war|was bei|with den|the Kindern|sons Bilhas|of-Bilhah und|and Silpas|Zilpah der|his Weiber|father's seines|concubines Vaters|father's und|and brachte|brought vor|to ihren|their Vater|father wo|what ein|bad böses|report Geschrei|report wider|about sie|them war|was
37:3	Israel|Israel aber|now hatte|loved Joseph|Joseph lieber|more als|than alle|all seine|his Kinder|sons darum|because daß|that er|he ihn|him im|in-his Alter|old-age gezeugt|had-begotten hatte|had und|and machte|made ihm|for-him einen|a bunten|richly-ornamented Rock|robe
37:4	Da|when nun|now seine|his Brüder|brothers sahen|saw daß|that ihn|him ihr|their Vater|father lieber|more hatte|loved als|than alle|all seine|his Brüder|brothers waren|hated sie|they ihm|him feind|hated und|and konnten|could ihm|to-him kein|no freundlich|kind Wort|word zusprechen|speak
37:5	Dazu|moreover hatte|had Joseph|Joseph einmal|once einen|a Traum|dream und|and sagte|told zu|to seinen|his Brüdern|brothers davon|it da|then wurden|hated sie|they ihm|him noch|even feinder|more
37:6	Denn|for er|he sprach|said zu|to ihnen|them Höret|hear doch|please was|what mir|me geträumt|dreamed hat|has
37:7	Mich|I deuchte|behold wir|we banden|were-binding Garben|sheaves auf|in dem|the Felde|field und|and meine|my Garbe|sheaf richtete|stood sich|itself auf|up und|and stand|stood und|and eure|your Garben|sheaves umher|around neigten|bowed sich|themselves vor|to meiner|my Garbe|sheaf
37:8	Da|then sprachen|said seine|his Brüder|brothers zu|to ihm|him Solltest|will du|you unser|our König|king werden|become und|and über|over uns|us herrschen|rule und|and sie|they wurden|hated ihm|him noch|even feinder|more um|because-of seines|his Traumes|dreams und|and seiner|his Rede|words willen|because-of
37:9	Und|and er|he hatte|had noch|yet einen|another andern|other Traum|dream den|which erzählte|told er|he seinen|his Brüdern|brothers und|and sprach|said Siehe|behold ich|I habe|have einen|another Traum|dream gehabt|had Mich|I deuchte|behold die|the Sonne|sun und|and der|the Mond|moon und|and elf|eleven Sterne|stars neigten|bowed sich|themselves vor|to mir|me
37:10	Und|and da|when das|it seinem|his Vater|father und|and seinen|his Brüdern|brothers gesagt|told ward|was strafte|rebuked ihn|him sein|his Vater|father und|and sprach|said zu|to ihm|him Was|what ist|is das|this für|for ein|a Traum|dream der|that dir|you geträumt|dreamed hat|has Soll|shall ich|I und|and deine|your Mutter|mother und|and deine|your Brüder|brothers kommen|come und|and vor|before dir|you niederfallen|bow-down
37:11	Und|and seine|his Brüder|brothers beneideten|were-jealous-of ihn|him Aber|but sein|his Vater|father behielt|kept diese|the Worte|matter
37:12	Da|when nun|now seine|his Brüder|brothers hingingen|went zu|to weiden|pasture das|the Vieh|flock ihres|their Vaters|father's in|in Sichem|Shechem
37:13	sprach|said Israel|Israel zu|to Joseph|Joseph Hüten|are-not nicht|not deine|your Brüder|brothers das|the Vieh|flock in|at Sichem|Shechem Komm|come ich|I will|will dich|you zu|to ihnen|them senden|send Er|he aber|and sprach|said Hier|here bin|am ich|I
37:14	Und|and er|he sprach|said Gehe|go hin|now und|and sieh|see ob's|whether wohl|is-well stehe|is um|with deine|your Brüder|brothers und|and um|with das|the Vieh|flock und|and sage|bring mir|me wieder|back Antwort|word Und|and er|he sandte|sent ihn|him aus|from dem|the Tal|valley Hebron|of-Hebron daß|that er|he gen|to Sichem|Shechem ginge|go
37:15	Da|then fand|found ihn|him ein|a Mann|man daß|as er|he irreging|was-wandering auf|in dem|the Felde|field der|the-man fragte|asked ihn|him und|and sprach|said Wen|whom suchst|are-you-seeking du|you
37:16	Er|he antwortete|said Ich|I suche|am-seeking meine|my Brüder|brothers sage|tell mir|me doch|please an|me wo|where sie|they hüten|are-pasturing
37:17	Der|the Mann|man sprach|said Sie|they sind|have von|from dannen|here gezogen|left denn|for ich|I hörte|heard daß|that sie|they sagten|said Laßt|let uns|us gen|to Dothan|Dothan gehen|go Da|so folgte|went Joseph|Joseph seinen|his Brüdern|brothers nach|after und|and fand|found sie|them zu|at Dothan|Dothan
37:18	Als|when sie|they ihn|him nun|now sahen|saw von|from ferne|afar ehe|before er|he denn|he nahe|came-near zu|to ihnen|them kam|came machten|conspired sie|they einen|a Anschlag|plot daß|to sie|kill ihn|him töteten|kill
37:19	und|and sprachen|said untereinander|to-one-another Seht|behold der|this Träumer|dreamer kommt|comes daher|here
37:20	So|so kommt|come nun|now und|and laßt|let uns|us ihn|him erwürgen|kill und|and in|into eine|a Grube|pit werfen|throw und|and sagen|say ein|a böses|wild Tier|animal habe|has ihn|him gefressen|devoured so|then wird|will man|we sehen|see was|what seine|his Träume|dreams sind|become
37:21	Da|when das|this Ruben|Reuben hörte|heard wollte|sought er|he ihn|him aus|from ihren|their Händen|hands erretten|deliver und|and sprach|said Laßt|let uns|us ihn|him nicht|not töten|kill
37:22	Und|and weiter|moreover sprach|said Ruben|Reuben zu|to ihnen|them Vergießt|shed nicht|no Blut|blood sondern|but werft|throw ihn|him in|into die|this Grube|pit die|that in|in der|the Wüste|wilderness ist|is und|and legt|lay die|a Hand|hand nicht|not an|on ihn|him Er|he wollte|intended ihn|him aber|but aus|from ihrer|their Hand|hand erretten|rescue daß|that er|him ihn|him seinem|his Vater|father wiederbrächte|restore
37:23	Als|when nun|now Joseph|Joseph zu|to seinen|his Brüdern|brothers kam|came zogen|stripped sie|they ihm|him seinen|his Rock|robe den|the bunten|richly-ornamented Rock|robe aus|off den|which er|he anhatte|was-wearing
37:24	und|and nahmen|took ihn|him und|and warfen|threw ihn|him in|into die|the Grube|pit aber|but die|the Grube|pit war|was leer|empty und|and kein|no Wasser|water darin|in-it
37:25	Und|and setzten|sat sich|themselves nieder|down zu|to essen|eat Indes|then hoben|lifted sie|they ihre|their Augen|eyes auf|up und|and sahen|saw einen|a Haufen|caravan Ismaeliter|of-Ishmaelites kommen|coming von|from Gilead|Gilead mit|with ihren|their Kamelen|camels die|they trugen|were-bearing Würze|spices Balsam|balm und|and Myrrhe|myrrh und|and zogen|going hinab|down nach|to Ägypten|Egypt
37:26	Da|then sprach|said Juda|Judah zu|to seinen|his Brüdern|brothers Was|what hilft's|profit uns|us daß|if wir|we unseren|our Bruder|brother erwürgen|kill und|and sein|his Blut|blood verbergen|cover-up
37:27	Kommt|come laßt|let uns|us ihn|him den|the Ismaeliten|Ishmaelites verkaufen|sell daß|that sich|with unsre|our Hände|hands nicht|not an|against ihm|him vergreifen|be-laid denn|for er|he ist|is unser|our Bruder|brother unser|our Fleisch|flesh und|and Blut|blood Und|and sie|they gehorchten|listened ihm|to-him
37:28	Und|and da|when die|the Midianiter|Midianite die|the Kaufleute|merchants vorüberreisten|passed-by zogen|drew sie|they ihn|him heraus|up aus|from der|the Grube|pit und|and verkauften|sold ihn|him den|the Ismaeliten|Ishmaelites um|for zwanzig|twenty Silberlinge|pieces-of-silver die|they brachten|brought ihn|him nach|to Ägypten|Egypt
37:29	Als|when nun|now Ruben|Reuben wieder|again zur|to-the Grube|pit kam|came und|and fand|found er|he Joseph|Joseph nicht|not darin|in-it zerriß|tore er|he sein|his Kleid|garments
37:30	und|and kam|returned wieder|back zu|to seinen|his Brüdern|brothers und|and sprach|said Der|the Knabe|boy ist|is nicht|not da|there Wo|where soll|shall ich|I hin|go
37:31	Da|then nahmen|took sie|they Josephs|Joseph's Rock|robe und|and schlachteten|slaughtered einen|a Ziegenbock|goat und|and tauchten|dipped den|the Rock|robe ins|in-the Blut|blood
37:32	und|and schickten|sent den|the bunten|richly-ornamented Rock|robe hin|back und|and ließen|had ihn|it ihrem|their Vater|father bringen|brought und|and sagen|saying Diesen|this haben|have wir|we gefunden|found sieh|see ob's|whether-it-is deines|your Sohnes|son's Rock|robe sei|is oder|or nicht|not
37:33	Er|he erkannte|recognized ihn|it aber|and und|and sprach|said Es|it ist|is meines|my Sohnes|son's Rock|robe ein|a böses|wild Tier|animal hat|has ihn|him gefressen|devoured ein|a reißendes|wild Tier|animal hat|has Joseph|Joseph zerrissen|torn-to-pieces
37:34	Und|and Jakob|Jacob zerriß|tore sein|his Kleider|clothes und|and legte|put einen|a Sack|sackcloth um|on seine|his Lenden|waist und|and trug|mourned Leid|mourned um|for seinen|his Sohn|son lange|many Zeit|days
37:35	Und|and alle|all seine|his Söhne|sons und|and Töchter|daughters traten|rose-up auf|up daß|to sie|comfort ihn|him trösteten|comfort aber|but er|he wollte|refused sich|himself nicht|not trösten|be-comforted lassen|to-be und|and sprach|said Ich|I werde|will mit|in Leid|mourning hinunterfahren|go-down in|to die|the Grube|grave zu|to meinem|my Sohn|son Und|and sein|his Vater|father beweinte|wept-for ihn|him
37:36	Aber|meanwhile die|the Midianiter|Midianites verkauften|sold ihn|him in|into Ägypten|Egypt dem|to Potiphar|Potiphar des|the Pharao|Pharaoh's Kämmerer|official und|and Hauptmann|captain der|of-the Leibwache|guard
38:1	Es|it begab|happened sich|itself um|at dieselbe|that Zeit|time daß|that Juda|Judah hinabzog|went-down von|from seinen|his Brüdern|brothers und|and tat|turned sich|aside zu|to einem|a Mann|man von|of Adullam|Adullam der|who hieß|was-named Hirah|Hirah
38:2	Und|and Juda|Judah sah|saw daselbst|there eines|a Kanaaniter-Mannes|Canaanite-man Tochter|daughter der|who hieß|was-named Sua|Shua und|and nahm|married sie|her Und|and da|when er|he zu|to ihr|her einging|went-in
38:3	ward|became sie|she schwanger|pregnant und|and gebar|bore einen|a Sohn|son den|whom hieß|named er|he Er|Er
38:4	Und|and sie|she ward|conceived abermals|again schwanger|pregnant und|and gebar|bore einen|a Sohn|son den|whom hieß|named sie|she Onan|Onan
38:5	Sie|she gebar|bore abermals|yet-again einen|a Sohn|son den|whom hieß|named sie|she Sela|Shelah und|and er|he war|was zu|at Chesib|Chezib da|when sie|she ihn|him gebar|bore
38:6	Und|and Juda|Judah gab|got seinem|his ersten|firstborn Sohn|son Er|Er ein|a Weib|wife die|who hieß|was-named Thamar|Tamar
38:7	Aber|but Er|Er war|was böse|wicked vor|in-the-eyes-of dem|the HERRN|LORD darum|so tötete|put-to-death ihn|him der|the HERR|LORD
38:8	Da|then sprach|said Juda|Judah zu|to Onan|Onan Gehe|go zu|to deines|your Bruders|brother's Weib|wife und|and nimm|marry sie|her zur|as-your Ehe|perform-your-duty-as-brother-in-law daß|and du|you deinem|for-your Bruder|brother Samen|offspring erweckest|raise-up
38:9	Aber|but da|since Onan|Onan wußte|knew daß|that der|the Same|offspring nicht|not sein|his eigen|own sein|be sollte|would wenn|whenever er|he einging|went-in zu|to seines|his Bruders|brother's Weib|wife ließ|spilled er's|it auf|on die|the Erde|ground fallen|spilled und|and verderbte|wasted es|it auf|so daß|that er|he seinem|his Bruder|brother nicht|not Samen|offspring gäbe|give
38:10	Da|this gefiel|was-displeasing dem|the HERRN|LORD übel|evil was|what er|he tat|did und|and er|he tötete|put-to-death ihn|him auch|also
38:11	Da|then sprach|said Juda|Judah zu|to seiner|his Schwiegertochter|daughter-in-law Thamar|Tamar Bleibe|remain eine|a Witwe|widow in|in deines|your Vaters|father's Hause|house bis|until mein|my Sohn|son Sela|Shelah groß|grown wird|is Denn|for er|he gedachte|thought vielleicht|lest möchte|die er|he auch|also sterben|die wie|like seine|his Brüder|brothers Also|so ging|went Thamar|Tamar hin|away und|and blieb|lived in|in ihres|her Vaters|father's Hause|house
38:12	Da|when nun|now viele|many Tage|days verlaufen|passed waren|had starb|died des|of Sua|Shua Tochter|daughter Judas|Judah's Weib|wife Und|and nachdem|when Juda|Judah ausgetrauert|was-comforted hatte|had ging|went er|he hinauf|up seine|his Schafe|sheep zu|to scheren|shear gen|to Thimnath|Timnah mit|with seinem|his Freunde|friend Hirah|Hirah von|from Adullam|Adullam
38:13	Da|when ward|was der|it Thamar|to-Tamar angesagt|told Siehe|behold dein|your Schwiegervater|father-in-law geht|is-going hinauf|up gen|to Thimnath|Timnah seine|his Schafe|sheep zu|to scheren|shear
38:14	Da|then legte|removed sie|she die|the Witwenkleider|widow's-garments von|from sich|herself die|which sie|she trug|was-wearing deckte|covered sich|herself mit|with einem|a Mantel|veil und|and verhüllte|wrapped sich|herself und|and setzte|sat sich|herself vor|at das|the Tor|entrance von|to Enaim|Enaim an|on dem|the Wege|way gen|to Thimnath|Timnah denn|for sie|she sah|saw daß|that Sela|Shelah war|had groß|grown geworden|grown und|and sie|she ward|was ihm|to-him nicht|not zum|as-a Weibe|wife gegeben|given
38:15	Da|when sie|her nun|now Juda|Judah sah|saw meinte|thought er|he sie|she wäre|was eine|a Hure|prostitute denn|for sie|she hatte|had ihr|her Angesicht|face verdeckt|covered
38:16	Und|and er|he machte|turned sich|himself zu|to ihr|her am|by-the Wege|road und|and sprach|said Laß|let mich|me doch|please zu|to dir|you kommen|come denn|for er|he wußte|knew nicht|not daß|that es|it seine|his Schwiegertochter|daughter-in-law wäre|was Sie|she antwortete|said Was|what willst|will du|you mir|me geben|give daß|if du|you zu|to mir|me kommst|come
38:17	Er|he sprach|said Ich|I will|will dir|you einen|a Ziegenbock|young-goat von|from der|the Herde|flock senden|send Sie|she antwortete|said So|if gib|give mir|me ein|a Pfand|pledge bis|until daß|that du|you mir's|to-me sendest|send-it
38:18	Er|he sprach|said Was|what willst|want du|you für|as-a ein|a Pfand|pledge das|that ich|I dir|you gebe|give Sie|she antwortete|said Deinen|your Ring|signet-ring und|and deine|your Schnur|cord und|and deinen|your Stab|staff den|that du|you in|in den|your Händen|hand hast|have Da|so gab|gave er's|them ihr|to-her und|and kam|went-in zu|to ihr|her und|and sie|she ward|conceived von|by ihm|him schwanger|pregnant
38:19	Und|and sie|she machte|arose sich|herself auf|up und|and ging|went hin|away und|and zog|removed ihre|her Witwenkleider|veil wieder|again an|on
38:20	Juda|Judah aber|and sandte|sent den|the Ziegenbock|young-goat durch|by seinen|his Freund|friend Adullam|the-Adullamite daß|to er|he das|the Pfand|pledge wieder|back holte|get von|from dem|the Weibe|woman und|but er|he fand|found sie|her nicht|not
38:21	Da|so fragte|asked er|he die|the Leute|men Wo|where ist|is die|the Hure|cult-prostitute die|who zu|at Enaim|Enaim am|on-the Wege|road saß|was Sie|they antworteten|said Es|there ist|has keine|no Hure|cult-prostitute da|here gewesen|been
38:22	Und|and er|he kam|returned wieder|back zu|to Juda|Judah und|and sprach|said Ich|I habe|have sie|her nicht|not gefunden|found dazu|moreover sagen|said die|the Leute|men des|of-the Orts|place es|there sei|has keine|no Hure|cult-prostitute da|there gewesen|been
38:23	Juda|Judah sprach|said Sie|she mag's|may behalten|keep sie|it kann|lest uns|we doch|become nicht|a Schande|laughingstock nachsagen|become denn|for ich|I habe|have den|this Bock|young-goat gesandt|sent so|but hast|have du|you sie|her nicht|not gefunden|found
38:24	Über|about drei|three Monate|months ward|was Juda|Judah angesagt|told Deine|your Schwiegertochter|daughter-in-law Thamar|Tamar hat|has gehurt|been-immoral dazu|moreover siehe|behold ist|is sie|she von|by der|her Hurerei|immorality schwanger|pregnant geworden|is Juda|Judah spricht|said Bringt|bring sie|her hervor|out daß|that sie|she verbrannt|burned werde|be
38:25	Und|and da|as man|she sie|she hervorbrachte|was-being-brought-out schickte|sent sie|she zu|to ihrem|her Schwiegervater|father-in-law und|and sprach|said Von|by dem|the Mann|man bin|am ich|I schwanger|pregnant des|whose dies|these ist|are Und|and sprach|said Kennst|examine du|please auch|and wes|whose dieser|these Ring|signet-ring und|and diese|and Schnur|cord und|and dieser|and Stab|staff ist|are
38:26	Juda|Judah erkannte|recognized es|them und|and sprach|said Sie|she ist|is gerechter|more-righteous als|than ich|I denn|because ich|I habe|have sie|her nicht|not gegeben|given meinem|my Sohn|son Sela|Shelah Doch|but erkannte|knew er|he sie|her fürder|again nicht|not mehr|more
38:27	Und|and da|when sie|she gebären|gave-birth sollte|time-came wurden|behold Zwillinge|twins in|in ihrem|her Leib|womb gefunden|were
38:28	Und|and als|while sie|she jetzt|was-giving-birth gebar|was-giving-birth tat|put sich|itself eine|a Hand|hand heraus|out Da|then nahm|took die|the Wehmutter|midwife einen|a roten|scarlet Faden|thread und|and band|tied ihn|on darum|it und|and sprach|saying Der|this-one wird|came zuerst|out herauskommen|first
38:29	Da|but aber|when der|he seine|his Hand|hand wieder|back hineinzog|drew kam|came sein|his Bruder|brother heraus|out und|and sie|she sprach|said Warum|what hast|have du|you um|for deinetwillen|yourself solchen|such Riß|breach gerissen|made Und|and man|he hieß|was-named ihn|him Perez|Perez
38:30	Darnach|afterward kam|came sein|his Bruder|brother heraus|out der|who den|the roten|scarlet Faden|thread um|on seine|his Hand|hand hatte|had Und|and man|he hieß|was-named ihn|him Serah|Zerah
39:1	Joseph|Joseph ward|was hinab|down nach|to Ägypten|Egypt geführt|taken und|and Potiphar|Potiphar ein|an ägyptischer|Egyptian Mann|man des|the Pharao|Pharaoh's Kämmerer|official und|and Hauptmann|captain kaufte|bought ihn|him von|from den|the Ismaeliten|Ishmaelites die|who ihn|him hinabbrachten|had-brought-down
39:2	Und|and der|the HERR|LORD war|was mit|with Joseph|Joseph daß|that er|he ein|a glücklicher|successful Mann|man ward|became und|and er|he war|was in|in seines|his Herrn|master's des|the Ägypters|Egyptian Hause|house
39:3	Und|and sein|his Herr|master sah|saw daß|that der|the HERR|LORD mit|with ihm|him war|was denn|for alles|all was|that er|he tat|did dazu|thereto gab|made der|the HERR|LORD Glück|succeed durch|in ihn|him
39:4	Also|so daß|that er|he Gnade|favor fand|found vor|in seinem|his Herrn|master und|and sein|his Diener|attendant ward|became Der|he setzte|put-in-charge ihn|him über|over sein|his Haus|house und|and alles|all was|that er|he hatte|had tat|put er|he unter|in seine|his Hände|charge
