1:1	Am|in-the Anfang|beginning schuf|created Gott|God Himmel|heaven und|and Erde|earth
1:12	Und|and die|the Erde|earth ließ|brought-forth aufgehen|sprout Gras|grass und|and Kraut|herb das|that sich|itself besamte|seeded ein|each jegliches|one nach|according-to seiner|its Art|kind und|and Bäume|trees die|that da|there Frucht|fruit trugen|bore und|and ihren|their eigenen|own Samen|seed bei|in sich|themselves selbst|themselves hatten|had ein|each jeglicher|one nach|according-to seiner|its Art|kind Und|and Gott|God sah|saw daß|that es|it gut|good war|was
1:13	Da|then ward|was aus|from Abend|evening und|and Morgen|morning der|the dritte|third Tag|day
1:14	Und|and Gott|God sprach|spoke Es|let-there werden|be Lichter|lights an|in der|the Feste|firmament des|of-the Himmels|heaven die|that da|there scheiden|divide Tag|day und|and Nacht|night und|and geben|give Zeichen|signs Zeiten|seasons Tage|days und|and Jahre|years
1:15	und|and seien|be Lichter|lights an|in der|the Feste|firmament des|of-the Himmels|heaven daß|that sie|they scheinen|shine auf|upon Erden|earth Und|and es|it geschah|happened also|so
1:16	Und|and Gott|God machte|made zwei|two große|great Lichter|lights ein|a großes|great Licht|light das|that den|the Tag|day regiere|rules und|and ein|a kleines|small Licht|light das|that die|the Nacht|night regiere|rules dazu|also auch|also Sterne|stars
1:17	Und|and Gott|God setzte|set sie|them an|in die|the Feste|firmament des|of-the Himmels|heaven daß|that sie|they schienen|shine auf|upon die|the Erde|earth
1:18	und|and den|the Tag|day und|and die|the Nacht|night regierten|ruled und|and schieden|divided Licht|light und|and Finsternis|darkness Und|and Gott|God sah|saw daß|that es|it gut|good war|was
1:19	Da|then ward|was aus|from Abend|evening und|and Morgen|morning der|the vierte|fourth Tag|day
1:20	Und|and Gott|God sprach|spoke Es|let errege|swarm sich|itself das|the Wasser|water mit|with webenden|swarming und|and lebendigen|living Tieren|creatures und|and Gevögel|birds fliege|fly auf|above Erden|earth unter|under der|the Feste|firmament des|of-the Himmels|heaven
1:21	Und|and Gott|God schuf|created große|great Walfische|sea-creatures und|and allerlei|all Getier|creatures daß|that da|there lebt|lives und|and webt|moves davon|with-which das|the Wasser|water sich|itself erregte|swarmed ein|each jegliches|one nach|according-to seiner|its Art|kind und|and allerlei|all gefiedertes|winged Gevögel|birds ein|each jegliches|one nach|according-to seiner|its Art|kind Und|and Gott|God sah|saw daß|that es|it gut|good war|was
1:22	Und|and Gott|God segnete|blessed sie|them und|and sprach|spoke Seid|be fruchtbar|fruitful und|and mehrt|multiply euch|yourselves und|and erfüllt|fill das|the Wasser|water im|in-the Meer|sea und|and das|the Gefieder|birds mehre|multiply sich|itself auf|upon Erden|earth
1:23	Da|then ward|was aus|from Abend|evening und|and Morgen|morning der|the fünfte|fifth Tag|day
1:24	Und|and Gott|God sprach|spoke Die|let-the Erde|earth bringe|bring hervor|forth lebendige|living Tiere|creatures ein|each jegliches|one nach|according-to seiner|its Art|kind Vieh|cattle Gewürm|creeping-things und|and Tiere|beasts auf|upon Erden|earth ein|each jegliches|one nach|according-to seiner|its Art|kind Und|and es|it geschah|happened also|so
1:25	Und|and Gott|God machte|made die|the Tiere|beasts auf|upon Erden|earth ein|each jegliches|one nach|according-to seiner|its Art|kind und|and das|the Vieh|cattle nach|according-to seiner|its Art|kind und|and allerlei|all Gewürm|creeping-things auf|upon Erden|earth nach|according-to seiner|its Art|kind Und|and Gott|God sah|saw daß|that es|it gut|good war|was
1:26	Und|and Gott|God sprach|spoke Laßt|let uns|us Menschen|man machen|make ein|an Bild|image das|that uns|us gleich|like sei|be die|who da|there herrschen|rule über|over die|the Fische|fish im|in-the Meer|sea und|and über|over die|the Vögel|birds unter|under dem|the Himmel|heaven und|and über|over das|the Vieh|cattle und|and über|over die|the ganze|whole Erde|earth und|and über|over alles|all Gewürm|creeping-things das|that auf|upon Erden|earth kriecht|creeps
1:27	Und|and Gott|God schuf|created den|the Menschen|man ihm|himself zum|in-his Bilde|image zum|in-the Bilde|image Gottes|of-God schuf|created er|he ihn|him und|and schuf|created sie|them einen|a Mann|male und|and ein|a Weib|female
1:28	Und|and Gott|God segnete|blessed sie|them und|and sprach|spoke zu|to ihnen|them Seid|be fruchtbar|fruitful und|and mehrt|multiply euch|yourselves und|and füllt|fill die|the Erde|earth und|and macht|subdue sie|it euch|yourselves untertan|subject und|and herrscht|rule über|over die|the Fische|fish im|in-the Meer|sea und|and über|over die|the Vögel|birds unter|under dem|the Himmel|heaven und|and über|over alles|every Getier|creature das|that auf|upon Erden|earth kriecht|creeps
1:29	Und|and Gott|God sprach|spoke Seht|behold da|there ich|I habe|have euch|you gegeben|given allerlei|all Kraut|herb das|that sich|itself besamt|seeds auf|upon der|the ganzen|whole Erde|earth und|and allerlei|all fruchtbare|fruit-bearing Bäume|trees die|that sich|themselves besamen|seed zu|for eurer|your Speise|food
1:30	und|and allem|all Getier|creatures auf|upon Erden|earth und|and allen|all Vögeln|birds unter|under dem|the Himmel|heaven und|and allem|all Gewürm|creeping-things das|that da|there lebt|lives auf|upon Erden|earth daß|that sie|they allerlei|all grünes|green Kraut|plants essen|eat Und|and es|it geschah|happened also|so
1:31	Und|and Gott|God sah|saw alles|everything an|at was|that er|he gemacht|made hatte|had und|and siehe|behold da|there es|it war|was sehr|very gut|good Da|then ward|was aus|from Abend|evening und|and Morgen|morning der|the sechste|sixth Tag|day
2:1	Also|thus ward|were vollendet|finished Himmel|heaven und|and Erde|earth mit|with ihrem|their ganzen|whole Heer|host
2:2	Und|and also|thus vollendete|finished Gott|God am|on-the siebenten|seventh Tage|day seine|his Werke|works die|which er|he machte|made und|and ruhte|rested am|on-the siebenten|seventh Tage|day von|from allen|all seinen|his Werken|works die|which er|he machte|made
2:3	Und|and Gott|God segnete|blessed den|the siebenten|seventh Tag|day und|and heiligte|sanctified ihn|it darum|because daß|that er|he an|on demselben|it geruht|rested hatte|had von|from allen|all seinen|his Werken|works die|which Gott|God schuf|created und|and machte|made
2:4	Also|these ist|are Himmel|heaven und|and Erde|earth geworden|generations da|when sie|they geschaffen|created sind|were zu|in der|the Zeit|day da|when Gott|God der|the HERR|LORD Erde|earth und|and Himmel|heaven machte|made
2:5	Und|and allerlei|every Bäume|shrub auf|of dem|the Felde|field waren|was noch|not-yet nicht|not auf|in Erden|earth und|and allerlei|every Kraut|plant auf|of dem|the Felde|field war|had noch|not-yet nicht|not gewachsen|sprouted denn|for Gott|God der|the HERR|LORD hatte|had noch|not nicht|not regnen|rain lassen|caused auf|upon Erden|earth und|and es|there war|was kein|no Mensch|man der|to das|the Land|ground baute|work
2:6	Aber|but ein|a Nebel|mist ging|went auf|up von|from der|the Erde|earth und|and feuchtete|watered alles|the-whole Land|ground
2:7	Und|and Gott|God der|the HERR|LORD machte|formed den|the Menschen|man aus|from einem|the Erdenkloß|dust-of-the-ground und|and blies|breathed ihm|into-him ein|the den|breath lebendigen|of-life Odem|breath in|into seine|his Nase|nostrils Und|and also|so ward|became der|the Mensch|man eine|a lebendige|living Seele|soul
2:8	Und|and Gott|God der|the HERR|LORD pflanzte|planted einen|a Garten|garden in|in Eden|Eden gegen|toward Morgen|the-east und|and setzte|put den|the Menschen|man hinein|there den|whom er|he gemacht|formed hatte|had
2:9	Und|and Gott|God der|the HERR|LORD ließ|caused-to-grow aufwachsen|grow aus|from der|the Erde|ground allerlei|every Bäume|tree lustig|pleasant anzusehen|to-the-sight und|and gut|good zu|to essen|eat und|and den|the Baum|tree des|of Lebens|life mitten|in-the-midst im|of-the Garten|garden und|and den|the Baum|tree der|of Erkenntnis|knowledge des|of Guten|good und|and Bösen|evil
2:10	Und|and es|there ging|went aus|out von|from Eden|Eden ein|a Strom|river zu|to wässern|water den|the Garten|garden und|and er|it teilte|divided sich|itself von|from da|there in|into vier|four Hauptwasser|rivers
2:11	Das|the erste|first heißt|is-named Pison|Pishon das|which fließt|flows um|around das|the ganze|whole Land|land Hevila|Havilah und|and daselbst|there findet|is man|found Gold|gold
2:12	Und|and das|the Gold|gold des|of-that Landes|land ist|is köstlich|good und|and da|there findet|is man|found Bedellion|bdellium und|and den|the Edelstein|precious-stone Onyx|onyx
2:13	Das|the andere|second Wasser|river heißt|is-named Gihon|Gihon das|which fließt|flows um|around das|the ganze|whole Mohrenland|land-of-Cush
2:14	Das|the dritte|third Wasser|river heißt|is-named Hiddekel|Tigris das|which fließt|flows vor|toward Assyrien|Assyria Das|the vierte|fourth Wasser|river ist|is der|the Euphrat|Euphrates
2:15	Und|and Gott|God der|the HERR|LORD nahm|took den|the Menschen|man und|and setzte|put ihn|him in|into den|the Garten|garden Eden|Eden daß|to er|he ihn|it baute|cultivate und|and bewahrte|keep
2:16	Und|and Gott|God der|the HERR|LORD gebot|commanded dem|the Menschen|man und|and sprach|saying Du|you sollst|may essen|eat von|from allerlei|every Bäumen|tree im|in-the Garten|garden
2:17	aber|but von|from dem|the Baum|tree der|of Erkenntnis|knowledge des|of Guten|good und|and des|of Bösen|evil sollst|shall du|you nicht|not essen|eat denn|for welches|in-the Tages|day du|you davon|of-it ißt|eat wirst|will du|you des|surely Todes|die sterben|die
2:18	Und|and Gott|God der|the HERR|LORD sprach|said Es|it ist|is nicht|not gut|good daß|that der|the Mensch|man allein|alone sei|be ich|I will|will ihm|for-him eine|a Gehilfin|helper machen|make die|that um|suitable-for ihn|him sei|is
2:19	Denn|now als|when Gott|God der|the HERR|LORD gemacht|formed hatte|had von|out-of der|the Erde|ground allerlei|every Tiere|beast auf|of dem|the Felde|field und|and allerlei|every Vögel|bird unter|of dem|the Himmel|heavens brachte|brought er|he sie|them zu|to dem|the Menschen|man daß|to er|he sähe|see wie|what er|he sie|them nennte|would-call denn|for der|whatever wie|the Mensch|man allerlei|each lebendige|living Tiere|creature nennen|called würde|that so|would sollten|be sie|its heißen|name
2:20	Und|and der|the Mensch|man gab|gave einem|to-every jeglichen|each Vieh|livestock und|and Vogel|bird unter|of dem|the Himmel|heavens und|and Tier|beast auf|of dem|the Felde|field seinen|a Namen|name aber|but für|for den|the Menschen|man ward|was-found keine|no Gehilfin|helper gefunden|found die|that um|suitable-for ihn|him wäre|was
2:21	Da|so ließ|caused Gott|God der|the HERR|LORD einen|a tiefen|deep Schlaf|sleep fallen|to-fall auf|upon den|the Menschen|man und|and er|he schlief|slept ein|one Und|and er|he nahm|took seiner|of-his Rippen|ribs eine|one und|and schloß|closed-up die|the Stätte|place zu|its mit|with Fleisch|flesh
2:22	Und|and Gott|God der|the HERR|LORD baute|built ein|a Weib|woman aus|from der|the Rippe|rib die|which er|he vom|from-the Menschen|man nahm|taken und|and brachte|brought sie|her zu|to ihm|him
2:23	Da|then sprach|said der|the Mensch|man Das|this ist|is doch|at-last Bein|bone von|of meinem|my Bein|bones und|and Fleisch|flesh von|of meinem|my Fleisch|flesh man|she wird|shall sie|be Männin|woman heißen|called darum|because daß|that sie|she vom|from Manne|man genommen|taken ist|was
2:24	Darum|therefore wird|shall ein|a Mann|man Vater|father und|and Mutter|mother verlassen|leave und|and an|to seinem|his Weibe|wife hangen|cling und|and sie|they werden|shall sein|become ein|one Fleisch|flesh
2:25	Und|and sie|they waren|were beide|both nackt|naked der|the Mensch|man und|and das|the Weib|wife und|and schämten|ashamed sich|themselves nicht|not
3:1	Und|now die|the Schlange|serpent war|was listiger|more-cunning denn|than alle|any Tiere|beast auf|of dem|the Felde|field die|that Gott|God der|the HERR|LORD gemacht|made hatte|had und|and sprach|said zu|to dem|the Weibe|woman Ja|indeed sollte|did Gott|God gesagt|say haben|say Ihr|you sollt|shall nicht|not essen|eat von|from den|any Früchten|tree der|in-the Bäume|garden im|in-the Garten|garden
3:2	Da|and sprach|said das|the Weib|woman zu|to der|the Schlange|serpent Wir|we essen|may-eat von|from den|the Früchten|fruit der|of-the Bäume|trees im|in-the Garten|garden
3:3	aber|but von|from den|the Früchten|fruit des|of-the Baumes|tree mitten|in-the-midst im|of-the Garten|garden hat|has Gott|God gesagt|said Eßt|eat nicht|not davon|of-it rührt's|touch auch|even nicht|not an|it daß|lest ihr|you nicht|not sterbt|die
3:4	Da|and sprach|said die|the Schlange|serpent zum|to-the Weibe|woman Ihr|you werdet|will mitnichten|surely des|not Todes|die sterben|die
3:5	sondern|but Gott|God weiß|knows daß|that welches|in-the Tages|day ihr|you davon|of-it eßt|eat so|then werden|will eure|your Augen|eyes aufgetan|be-opened und|and werdet|will sein|be wie|like Gott|God und|and wissen|knowing was|what gut|good und|and böse|evil ist|is
3:6	Und|and das|the Weib|woman schaute|saw an|that daß|that von|from dem|the Baum|tree gut|good zu|to essen|eat wäre|was und|and daß|that er|it lieblich|pleasing anzusehen|to-the-eyes und|and ein|a lustiger|desirable Baum|tree wäre|was weil|for er|gaining klug|wisdom machte|make und|and sie|she nahm|took von|from der|the Frucht|fruit und|and aß|ate und|and gab|also-gave ihrem|to-her Mann|husband auch|with davon|her und|and er|he aß|ate
3:7	Da|then wurden|were ihrer|of-them beiden|both Augen|eyes aufgetan|opened und|and sie|they wurden|knew gewahr|knew daß|that sie|they nackt|naked waren|were und|and flochten|sewed Feigenblätter|fig-leaves zusammen|together und|and machten|made sich|themselves Schürze|loincloths
3:8	Und|and sie|they hörten|heard die|the Stimme|sound Gottes|of-God des|the HERRN|LORD der|who im|in-the Garten|garden ging|walking da|in-the der|cool Tag|of-the-day kühl|cool geworden|became war|was Und|and Adam|the-man versteckte|hid sich|himself mit|and seinem|his Weibe|wife vor|from dem|the Angesicht|presence Gottes|of-God des|the HERRN|LORD unter|among die|the Bäume|trees im|in-the Garten|garden
3:9	Und|and Gott|God der|the HERR|LORD rief|called Adam|the-man und|and sprach|said zu|to ihm|him Wo|where bist|are du|you
3:10	Und|and er|he sprach|said Ich|I hörte|heard deine|your Stimme|sound im|in-the Garten|garden und|and fürchtete|was-afraid mich|I denn|because ich|I bin|was nackt|naked darum|so versteckte|hid ich|I mich|myself
3:11	Und|and er|he sprach|said Wer|who hat|told dir's|you gesagt|told daß|that du|you nackt|naked bist|are Hast|have du|you nicht|not gegessen|eaten von|from dem|the Baum|tree davon|from-which ich|I dir|you gebot|commanded du|you solltest|should nicht|not davon|from-it essen|eat
3:12	Da|and sprach|said Adam|the-man Das|the Weib|woman das|whom du|you mir|with-me zugesellt|gave hast|gave gab|gave mir|me von|from von|from dem|the Baum|tree und|and ich|I aß|ate
3:13	Da|and sprach|said Gott|God der|the HERR|LORD zum|to-the Weibe|woman Warum|what hast|have du|you das|this getan|done Das|the Weib|woman sprach|said Die|the Schlange|serpent betrog|deceived mich|me also|so daß|that ich|I aß|ate
3:14	Da|and sprach|said Gott|God der|the HERR|LORD zu|to der|the Schlange|serpent Weil|because du|you solches|this getan|done hast|have seist|are du|you verflucht|cursed vor|above allem|all Vieh|livestock und|and vor|above allen|all Tieren|beasts auf|of dem|the Felde|field Auf|upon deinem|your Bauche|belly sollst|shall du|you gehen|go und|and Erde|dust essen|eat dein|your Leben|life lang|all-the-days-of
3:15	Und|and ich|I will|will Feindschaft|enmity setzen|put zwischen|between dir|you und|and dem|the Weibe|woman und|and zwischen|between deinem|your Samen|offspring und|and ihrem|her Samen|offspring Derselbe|he soll|shall dir|your den|the Kopf|head zertreten|crush und|and du|you wirst|shall ihn|his in|on-the die|the Ferse|heel stechen|strike
3:16	Und|and zum|to-the Weibe|woman sprach|said er|he Ich|I will|will dir|you viel|greatly Schmerzen|pain schaffen|multiply wenn|in du|your schwanger|childbearing wirst|is du|you sollst|shall mit|in Schmerzen|pain Kinder|children gebären|bring-forth und|and dein|your Verlangen|desire soll|shall nach|be-for deinem|your Manne|husband sein|be und|and er|he soll|shall dein|over-you Herr|rule sein|be
3:17	Und|and zu|to Adam|Adam sprach|said er|he Dieweil|because du|you hast|have gehorcht|listened der|to-the Stimme|voice deines|of-your Weibes|wife und|and hast|have gegessen|eaten von|from dem|the Baum|tree davon|from-which ich|I dir|you gebot|commanded und|and sprach|saying Du|you sollst|shall nicht|not davon|from-it essen|eat verflucht|cursed sei|is der|the Acker|ground um|because-of deinetwillen|you mit|in Kummer|toil sollst|shall du|you dich|of-it darauf|eat nähren|eat dein|your Leben|life lang|all-the-days-of
3:18	Dornen|thorns und|and Disteln|thistles soll|shall er|it dir|to-you tragen|bring-forth und|and sollst|shall das|the Kraut|plants auf|of dem|the Felde|field essen|eat
3:19	Im|by-the Schweiße|sweat deines|of-your Angesichts|face sollst|shall du|you dein|your Brot|bread essen|eat bis|until daß|that du|you wieder|return zu|to Erde|ground werdest|become davon|from-which du|you genommen|taken bist|were Denn|for du|you bist|are Erde|dust und|and sollst|shall zu|to Erde|dust werden|return
3:20	Und|and Adam|the-man hieß|called sein|his Weib|wife Eva|Eve darum|because daß|that sie|she eine|was Mutter|mother ist|is aller|of-all Lebendigen|living
3:21	Und|and Gott|God der|the HERR|LORD machte|made Adam|Adam und|and seinem|his Weibe|wife Röcke|garments von|of Fellen|skins und|and kleidete|clothed sie|them
3:22	Und|and Gott|God der|the HERR|LORD sprach|said Siehe|behold Adam|the-man ist|has geworden|become wie|like unsereiner|one-of-us und|and weiß|knowing was|what gut|good und|and böse|evil ist|is Nun|now aber|lest daß|that er|he nicht|not ausstrecke|reach-out seine|his Hand|hand und|and breche|take auch|also von|from dem|the Baum|tree des|of Lebens|life und|and esse|eat und|and lebe|live ewiglich|forever
3:23	Da|therefore wies|sent ihn|him Gott|God der|the HERR|LORD aus|out-from dem|the Garten|garden Eden|of-Eden daß|to er|he das|the Feld|ground baute|work davon|from-which er|he genommen|taken ist|was
3:24	und|and trieb|drove-out Adam|the-man aus|out und|and lagerte|placed vor|at-the-east-of den|the Garten|garden Eden|of-Eden die|the Cherubim|cherubim mit|and dem|a bloßen|flaming hauenden|sword Schwert|sword zu|to bewahren|guard den|the Weg|way zu|to dem|the Baum|tree des|of Lebens|life
4:1	Und|and Adam|the-man erkannte|knew sein|his Weib|wife Eva|Eve und|and sie|she ward|conceived schwanger|conceived und|and gebar|bore den|the Kain|Cain und|and sprach|said Ich|I habe|have einen|a Mann|man gewonnen|gotten mit|with dem|the HERRN|LORD
4:2	Und|and sie|she fuhr|again fort|again und|and gebar|bore Abel|Abel seinen|his Bruder|brother Und|and Abel|Abel ward|was ein|a Schäfer|keeper Kain|Cain aber|but ward|was ein|a Ackermann|worker-of-the-ground
4:3	Es|and begab|in-the-course sich|of nach|time etlicher|time Zeit|time daß|that Kain|Cain dem|to-the HERRN|LORD Opfer|offering brachte|brought von|of den|the Früchten|fruit des|of-the Feldes|ground
4:4	und|and Abel|Abel brachte|also-brought auch|also von|from den|the Erstlingen|firstborn seiner|of-his Herde|flock und|and von|and-of ihrem|their Fett|fat Und|and der|the HERR|LORD sah|had-regard gnädig|for an|for Abel|Abel und|and sein|his Opfer|offering
4:5	aber|but Kain|Cain und|and sein|his Opfer|offering sah|had-regard er|he nicht|not gnädig|for an|for Da|so ergrimmte|was-angry Kain|Cain sehr|very und|and seine|his Gebärde|face verstellte|fell sich|fell
4:6	Da|and sprach|said der|the HERR|LORD zu|to Kain|Cain Warum|why ergrimmst|are-angry du|you und|and warum|why verstellt|fallen sich|is deine|your Gebärde|face
4:7	Ist's|if nicht|not also|well Wenn|if du|you fromm|do-well bist|do-well so|will bist|will du|acceptance angenehm|be bist|do du|you aber|but nicht|not fromm|do-well so|is ruht|crouching die|the Sünde|sin vor|at der|the Tür|door und|and nach|for dir|you hat|is sie|its Verlangen|desire du|you aber|but herrsche|must-rule über|over sie|it
4:8	Da|and redete|spoke Kain|Cain mit|to seinem|his Bruder|brother Abel|Abel Und|and es|when begab|when sich|they da|were sie|they auf|in dem|the Felde|field waren|were erhob|rose-up sich|rose-up Kain|Cain wider|against seinen|his Bruder|brother Abel|Abel und|and schlug|killed ihn|him tot|killed
4:9	Da|and sprach|said der|the HERR|LORD zu|to Kain|Cain Wo|where ist|is dein|your Bruder|brother Abel|Abel Er|and-he sprach|said Ich|I weiß|know nicht|not soll|am ich|I meines|my Bruders|brother's Hüter|keeper sein|be
4:10	Er|and-he aber|but sprach|said Was|what hast|have du|you getan|done Die|the Stimme|voice des|of-your Bluts|blood deines|of-your Bruders|brother's schreit|crying zu|to mir|me von|from der|the Erde|ground
4:11	Und|and nun|now verflucht|cursed seist|are-you du|you auf|from der|the Erde|ground die|which ihr|its Maul|mouth hat|opened aufgetan|opened und|and deines|your Bruders|brother's Blut|blood von|from deinen|your Händen|hand empfangen|receive
4:12	Wenn|when du|you den|the Acker|ground bauen|work wirst|work soll|shall er|it dir|to-you hinfort|no-longer sein|its Vermögen|strength nicht|no-longer geben|yield Unstet|fugitive und|and flüchtig|wanderer sollst|shall du|you sein|be auf|on Erden|earth
4:13	Kain|Cain aber|and sprach|said zu|to dem|the HERRN|LORD Meine|my Sünde|punishment ist|is größer|greater denn|than daß|that sie|can mir|be vergeben|forgiven werden|be möge|forgiven
4:14	Siehe|behold du|you treibst|are-driving mich|me heute|this aus|away dem|the Lande|land und|and ich|I muß|shall mich|be vor|from deinem|your Angesicht|face verbergen|hidden und|and muß|shall unstet|fugitive und|and flüchtig|wanderer sein|be auf|on Erden|earth So|and wird|will mir's|me gehen|kill daß|whoever mich|finds totschlage|kill wer|whoever mich|me findet|finds
4:15	Aber|and der|the HERR|LORD sprach|said zu|to ihm|him Nein|therefore sondern|if wer|anyone Kain|Cain totschlägt|kills das|shall soll|be siebenfältig|sevenfold gerächt|vengeance werden|taken Und|and der|the HERR|LORD machte|put ein|a Zeichen|mark an|on Kain|Cain daß|so-that ihn|him niemand|none erschlüge|would-kill wer|who ihn|him fände|found
4:16	Also|and ging|went-out Kain|Cain von|from dem|the Angesicht|presence des|of-the HERRN|LORD und|and wohnte|settled im|in-the Lande|land Nod|of-Nod jenseit|east Eden|of-Eden gegen|east Morgen|of
4:17	Und|and Kain|Cain erkannte|knew sein|his Weib|wife die|she ward|conceived schwanger|conceived und|and gebar|bore den|the Henoch|Enoch Und|and er|he baute|built eine|a Stadt|city die|it nannte|called er|he nach|after seines|his Sohnes|son's Namen|name Henoch|Enoch
4:18	Henoch|Enoch aber|and zeugte|fathered Irad|Irad Irad|Irad zeugte|fathered Mahujael|Mehujael Mahujael|Mehujael zeugte|fathered Methusael|Methushael Methusael|Methushael zeugte|fathered Lamech|Lamech
4:19	Lamech|Lamech aber|and nahm|took zwei|two Weiber|wives eine|one hieß|was-named Ada|Adah die|the andere|other Zilla|Zillah
4:20	Und|and Ada|Adah gebar|bore Jabal|Jabal von|the dem|father sind|of hergekommen|those die|who in|dwell-in Hütten|tents wohnten|dwell-in und|and Vieh|livestock zogen|have
4:21	Und|and sein|his Bruder|brother hieß|was-named Jubal|Jubal von|the dem|father sind|of hergekommen|all die|who Geiger|play und|and Pfeifer|pipe
4:22	Die|and Zilla|Zillah aber|also gebar|bore auch|also nämlich|namely den|the Thubalkain|Tubal-cain den|the Meister|forger in|of allerlei|all Erz|bronze und|and Eisenwerk|iron Und|and die|the Schwester|sister des|of Thubalkain|Tubal-cain war|was Naema|Naamah
4:23	Und|and Lamech|Lamech sprach|said zu|to seinen|his Weibern|wives Ada|Adah und|and Zilla|Zillah Ihr|you Weiber|wives Lamechs|of-Lamech hört|hear meine|my Rede|voice und|and merkt|listen was|to-my ich|speech sage|say Ich|I habe|have einen|a Mann|man erschlagen|killed für|for meine|wounding Wunde|me und|and einen|a Jüngling|young-man für|for meine|striking Beule|me
4:24	Kain|Cain soll|shall siebenmal|sevenfold gerächt|be-avenged werden|be-avenged aber|but Lamech|Lamech siebenundsiebzigmal|seventy-sevenfold
4:25	Adam|Adam erkannte|knew abermals|again sein|his Weib|wife und|and sie|she gebar|bore einen|a Sohn|son den|and hieß|called sie|named Seth|Seth denn|for Gott|God hat|has mir|for-me sprach|said sie|she einen|another andern|another Samen|offspring gesetzt|appointed für|instead Abel|of-Abel den|whom Kain|Cain erwürgt|killed hat|killed
4:26	Und|and Seth|Seth zeugte|fathered auch|also einen|a Sohn|son und|and hieß|called ihn|his-name Enos|Enosh Zu|at der|that Zeit|time fing|began man|people an|began zu|to predigen|call von|upon des|the HERRN|name Namen|of-the-LORD
5:1	Dies|this ist|is das|the Buch|book von|of des|the Menschen|Adam Geschlecht|generations Da|when Gott|God den|the Menschen|man schuf|created machte|made er|he ihn|him nach|in dem|the Bilde|likeness Gottes|of-God
5:2	und|and schuf|created sie|them einen|a Mann|male und|and ein|a Weib|female und|and segnete|blessed sie|them und|and hieß|called ihren|their Namen|name Mensch|man zur|when Zeit|when da|when sie|they geschaffen|created wurden|were
5:3	Und|and Adam|Adam war|had-lived hundertunddreißig|one-hundred-thirty Jahre|years alt|old und|and zeugte|fathered einen|a Sohn|son der|in seinem|his Bild|likeness ähnlich|after war|according-to und|and hieß|called ihn|his-name Seth|Seth
5:4	und|and lebte|lived darnach|after achthundert|eight-hundred Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:5	daß|thus sein|of ganzes|all Alter|days ward|were neunhundertunddreißig|nine-hundred-thirty Jahre|years und|and starb|died
5:6	Seth|Seth war|had-lived hundertundfünf|one-hundred-five Jahre|years alt|old und|and zeugte|fathered Enos|Enosh
5:7	und|and lebte|lived darnach|after achthundertundsieben|eight-hundred-seven Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
5:8	daß|thus sein|of ganzes|all Alter|days ward|were neunhundertundzwölf|nine-hundred-twelve Jahre|years und|and starb|died
5:9	Enos|Enosh war|had-lived neunzig|ninety Jahre|years alt|old und|and zeugte|fathered Kenan|Kenan
5:10	und|and lebte|lived darnach|after achthundertundfünfzehn|eight-hundred-fifteen Jahre|years und|and zeugte|fathered Söhne|sons und|and Töchter|daughters
