1:1	Adam|the-man Seth|Seth Enos|Enosh
1:19	Eber|Eber aber|but wurden|were zwei|two Söhne|old geboren|beget der|the eine|a hieß|name Peleg|Peleg darum|and daß|that zu|to seiner|his Zeit|time das|the Land|land zerteilt|was-divided ward|divide und|and sein|his Bruder|brother hieß|name Joktan|Joktan
1:20	Joktan|Joktan aber|but zeugte|beget Almodad|Almodad Saleph|Sheleph Hazarmaveth|Hazarmaveth Jarah|Jerah
1:21	Hadoram|Hadoram Usal|Uzal Dikla|Diklah
1:22	Ebal|Ebal Abimael|Abimael Saba|Sheba
1:23	Ophir|Ophir Hevila|Havilah und|and Jobab|Jobab Diese|these alle|all (manner sind|are Kinder|old Joktans|Joktan
1:24	Sem|Shem Arphachsad|Arpachshad Salah|Salah
1:25	Eber|Eber Peleg|Peleg Regu|Reu
1:26	Serug|Serug Nahor|Nahor Tharah|Terah
1:27	Abram|Abram das|he ist|is Abraham|Abraham
1:28	Die|the Kinder|old aber|but Abrahams|Abraham's sind|are Isaak|Isaac und|and Ismael|Ishmael
1:29	Dies|this ist|is ihr|you Geschlecht|generations der|the erste|first Sohn|firstborn Ismaels|Ishmael Nebajoth|Nebajoth Kedar|Kedar Adbeel|[Adbeel] Mibsam|Mibsam
1:30	Misma|Mishma Duma|Dumah Massa|Massa Hadad|Hadad Thema|Tema
1:31	Jetur|Jetur Naphis|Nephish Kedma|Kedemah Das|the sind|walk die|the Kinder|old Ismaels|Ishmael
1:32	Die|the Kinder|old aber|but Keturas|[Keturas] des|of-the Kebsweibs|concubine Abraham|Abraham die|the gebar|beget Simran|Zimran Joksan|Jokshan Medan|Medan Midian|Midian Jesbak|Ishbak Suah|Shuah Aber|but die|the Kinder|old Joksans|Jokshan sind|are Saba|Sheba und|and Dedan|Dedan
1:33	Und|and die|the Kinder|old Midians|Midian sind|are Epha|Ephah Epher|Epher Hanoch|Enoch Abida|Abida Eldaa|Eldaah Diese|these alle|all (manner sind|are Kinder|old der|the Ketura|Keturah
1:34	Abraham|Abraham zeugte|beget Isaak|Isaac Die|the Kinder|old aber|but Isaaks|Isaac sind|are Esau|Esau und|and Israel|Israelites
1:35	Die|the Kinder|old Esaus|Esau sind|are Eliphas|Eliphaz Reguel|Reuel Jeus|Jeush Jaelam|Jaalam Korah|Korah
1:36	Die|the Kinder|old Eliphas|Eliphaz sind|are Theman|Teman Omar|Omar Zephi|Zepho Gaetham|Gatam Kenas|Kenaz Thimna|Timna Amalek|Amalek
1:37	Die|the Kinder|old Reguels|Reuel sind|are Nahath|Nahath Serah|Zerah Samma|Shammah und|and Missa|Mizzah
1:38	Die|the Kinder|old Seirs|Seir sind|are Lotan|Lotan Sobal|Shobal Zibeon|Zibeon Ana|Anah Dison|Dishon Ezer|Ezer Disan|Dishan
1:39	Die|the Kinder|old Lotans|Lotan sind|are Hori|Hori Homam|[Homam] und|and Thimna|Timna war|was eine|a Schwester|sister Lotans|Lotan
1:40	Die|the Kinder|old Sobals|Shobal sind|are Aljan|Alian Manahath|Manahath Ebal|Ebal Sephi|Shepho Onam|Onam Die|the Kinder|old Zibeons|Zibeon sind|are Aja|Aiah und|and Ana|Anah
1:41	Die|the Kinder|old Anas|Anah Dison|Dishon Die|the Kinder|old Disons|Dishon sind|are Hamran|[Hamran] Esban|Eshban Jethran|Ithran Cheran|Cheran
1:42	Die|the Kinder|old Ezers|of-Ezer sind|are Bilhan|Bilhan Saawan|Zavan Jaakan|[Jaakan] Die|the Kinder|old Disans|Dishan sind|are Uz|Uz und|and Aran|Aran
1:43	Die|the sind|are die|the Könige|royal die|the regiert|ruled haben|reign im|in-the Lande|land Edom|Edom ehe|face denn|for ein|a König|royal regierte|reign unter|under den|the Kindern|old Israel|Israelites Bela|Bela der|the Sohn|old Beors|Beor und|and seine|his Stadt|town hieß|name Dinhaba|Dinhabah
1:44	Und|and da|then Bela|Bela starb|die ward|was König|reign an|to seiner|his Statt|place Jobab|Jobab der|the Sohn|old Serahs|Zerah von|from Bozra|Bozrah
1:45	Und|and da|then Jobab|Jobab starb|die ward|was König|reign an|to seiner|his Statt|Toah Husam|Husham aus|stringed instrument der|the Themaniter|Temanite Lande|land
1:46	Da|then Husam|Husham starb|die ward|was König|reign an|to seiner|his Statt|Toah Hadad|Hadad der|the Sohn|old Bedads|of-Bedad der|the die|the Midianiter|Midian schlug|smite in|in der|the Moabiter|Moab Feld|field und|and seine|his Stadt|town hieß|name Awith|Avith
1:47	Da|then Hadad|Hadad starb|die ward|was König|reign an|to seiner|his Statt|Toah Samla|Samlah von|stringed instrument Masrek|Masrekah
1:48	Da|then Samla|Samlah starb|die ward|was König|reign an|to seiner|his Statt|Toah Saul|Saul von|stringed instrument Rehoboth|Rehoboth am|on-the Strom|river
1:49	Da|then Saul|Saul starb|die ward|was König|reign an|to seiner|his Statt|Toah Baal-|[Baal-] Hanan|Baalhanan der|the Sohn|old Achbors|Achbor
1:50	Da|then Baal-|[Baal-] Hanan|Baalhanan starb|die ward|was König|reign an|to seiner|his Statt|Toah Hadad|Hadad und|and seine|his Stadt|town hieß|name Pagi|Pai und|and sein|his Weib|wife hieß|name Mehetabeel|Mehetabel eine|a Tochter|daughter Matreds|Matred die|the Mesahabs|Me-zahab's Tochter|daughter war|was
1:51	Da|then aber|but Hadad|Hadad starb|die wurden|be thou Fürsten|chiefs zu|to Edom|Edom Fürst|chief Thimna|Timna Fürst|chief Alwa|Aliah Fürst|chief Jetheth|Jetheth
1:52	Fürst|chief Oholibama|Oholibamah Fürst|chief Ela|Elah Fürst|chief Pinon|Pinon
1:53	Fürst|chief Kenas|Kenaz Fürst|chief Theman|Teman Fürst|chief Mizbar|[Mizbar]
1:54	Fürst|chief Magdiel|Magdiel Fürst|chief Iram|Iram Das|the sind|are die|the Fürsten|chiefs zu|to Edom|Edom
2:1	Dies|this sind|are die|the Kinder|old Israels|Israelites Ruben|Reuben Simeon|Simeon Levi|Levi Juda|Judah Isaschar|Issachar Sebulon|Zebulun
2:2	Dan|Dan Joseph|Joseph Benjamin|Benjamin Naphthali|Naphtali Gad|Gad Asser|Asher
2:3	Die|the Kinder|old Juda|Judah s|Judah sind|are Ger|Er Onan|Onan Sela|Shelah Die|the drei|three wurden|were ihm|him geboren|beget von|stringed instrument der|the Kanaanitin|Canaanite der|the Tochter|daughter Suas|[Suas] Ger|Er aber|but der|the erste|first Sohn|firstborn Juda|Judah s|Judah war|be thou böse|evil vor|eye dem|the HERRN|GOD darum|therefore tötete|die er|he ihn|him
2:4	Thamar|Tamar aber|but seine|his Schwiegertochter|bride gebar|beget ihm|him Perez|Pharez und|and Serah|Zerah daß|that aller|all (manner Kinder|old Juda|Judah s|Judah waren|were fünf|five
2:5	Die|the Kinder|old des|of-the Perez|Pharez sind|are Hezron|Hezron und|and Hamul|Hamul
2:6	Die|the Kinder|old aber|but Serahs|Zerah sind|are Simri|Zimri Ethan|[Ethan] Heman|Heman Chalkol|[Chalkol] Dara|[Dara] Diese|these alle|all (manner sind|are fünf|five
2:7	Die|the Kinder|old Charmis|Carmi sind|are Achan|[Achan] welcher|which Israel|Israelites betrübte|trouble da|then er|he sich|himself am|on-the Verbannten|net vergriff|trespass
2:8	Die|the Kinder|old Ethans|[Ethans] sind|are Asarja|Azariah
2:9	Die|the Kinder|old aber|but Hezrons|Hezron die|the ihm|him geboren|beget sind|are Jerahmeel|Jerahmeel Ram|Ram Chalubai|[Chalubai]
2:10	Ram|Ram aber|but zeugte|beget Amminadab|Amminadab Amminadab|Amminadab zeugte|beget Nahesson|Nahshon den|the Fürsten|prince der|the Kinder|old Juda|Judah
2:11	Nahesson|Nahshon zeugte|beget Salma|[Salma] Salma|[Salma] zeugte|beget Boas|Boaz
2:12	Boas|Boaz zeugte|beget Obed|Obed Obed|Obed zeugte|beget Isai|Jesse
2:13	Isai|Jesse zeugte|beget seinen|his ersten|firstborn Sohn|firstborn Eliab|[Eliab] Abinadab|[Abinadab] den|the zweiten|second Simea|[Simea] den|the dritten|third
2:14	Nathanel|Nethaneel den|the vierten|fourth Raddai|[Raddai] den|the fünften|fifth
2:15	Ozem|[Ozem] den|the sechsten|sixth David|David den|the siebenten|seventh
2:16	Und|and ihre|their Schwestern|[Schwestern] waren|were Zeruja|[Zeruja] und|and Abigail|[Abigail] Die|the Kinder|old Zerujas|[Zerujas] sind|are Abisai|[Abisai] Joab|Joab Asahael|Asahel die|the drei|three
2:17	Abigail|[Abigail] aber|but gebar|beget Amasa|[Amasa] Der|the Vater|father aber|but Amasas|[Amasas] war|was Jether|Jether ein|a Ismaeliter|Ishmeelite
2:18	Kaleb|Caleb der|the Sohn|old Hezrons|Hezron zeugte|beget mit|with Asuba|[Asuba] seiner|his Frau|mistress und|and mit|with Jerigoth|[Jerigoth] und|and dies|this sind|are derselben|same Kinder|old Jeser|[Jeser] Sobab|[Sobab] und|and Ardon|[Ardon]
2:19	Da|then aber|but Asuba|[Asuba] starb|die nahm|take Kaleb|Caleb Ephrath|Ephrath die|the gebar|beget ihm|him Hur|Hur
2:20	Hur|Hur zeugte|beget Uri|[Uri] Uri|[Uri] zeugte|beget Bezaleel|Bezaleel
2:21	Darnach|after kam|came Hezron|Hezron zu|to der|the Tochter|daughter Machirs|Machir des|of-the Vaters|father's Gileads|Gilead und|and er|he nahm|take sie|they da|then er|he sechzig|threescore Jahre|year alt|old war|was und|and sie|they gebar|beget ihm|him Segub|[Segub]
2:22	Segub|[Segub] aber|but zeugte|beget Jair|Jair der|the hatte|had dreiundzwanzig|three Städte|town im|in-the Lande|land Gilead|Gilead
2:23	Aber|but die|the Gessuriter|Geshur und|and Syrer|Arameans nahmen|take ihnen|them die|the Flecken|town Jairs|Jair dazu|stringed instrument Kenath|Kenath mit|with seinen|his Ortschaften|daughter sechzig|threescore Städte|town Diese|these alle|all (manner sind|are Kinder|old Machirs|Machir des|of-the Vaters|father's Gileads|Gilead
2:24	Nach|after dem|the Tode|death Hezrons|Hezron in|in Kaleb|[Kaleb] Ephratha|[Ephratha] gebar|beget Hezrons|Hezron Weib|wife Abia|[Abia] ihm|him Ashur|[Ashur] den|the Vater|father Thekoas|Tekoa
2:25	Jerahmeel|Jerahmeel der|the erste|first Sohn|firstborn Hezrons|Hezron hatte|be thou Kinder|old den|the ersten|firstborn Ram|Ram Buna|[Buna] Oren|[Oren] und|and Ozem|[Ozem] und|and Ahia|[Ahia]
2:26	Und|and Jerahmeel|Jerahmeel hatte|be thou noch|still ein|a anderes|other Weib|wife die|the hieß|name Atara|[Atara] die|he ist|is die|the Mutter|mother Onams|[Onams]
2:27	Die|the Kinder|old aber|but Rams|Ram des|of-the ersten|firstborn Sohnes|firstborn Jerahmeels|Jerahmeel sind|be thou Maaz|[Maaz] Jamin|Jamin und|and Eker|[Eker]
2:28	Aber|but Onam|Onam hatte|be thou Kinder|old Sammai|[Sammai] und|and Jada|[Jada] Die|the Kinder|old aber|but Sammais|[Sammais] sind|are Nadab|Nadab und|and Abisur|[Abisur]
2:29	Das|the Weib|wife aber|but Abisurs|[Abisurs] hieß|name Abihail|[Abihail] die|the gebar|beget Achban|[Achban] und|and Molid|[Molid]
2:30	Die|the Kinder|old aber|but Nadabs|Nadab sind|are Seled|[Seled] und|and Appaim|[Appaim] und|and Seled|[Seled] starb|die ohne|not Kinder|old
2:31	Die|the Kinder|old Appaims|[Appaims] sind|are Jesai|[Jesai] Die|the Kinder|old Jesais|[Jesais] sind|are Sesan|[Sesan] Die|the Kinder|old Sesans|[Sesans] sind|are Ahelai|[Ahelai]
2:32	Die|the Kinder|old aber|but Jadas|[Jadas] des|of-the Bruders|brother Sammais|[Sammais] sind|are Jether|Jether und|and Jonathan|Jonathan Jether|Jether aber|but starb|die ohne|not Kinder|old
2:33	Die|the Kinder|old aber|but Jonathans|Jonathan sind|are Peleth|Peleth und|and Sasa|[Sasa] Das|the sind|be thou die|the Kinder|old Jerahmeels|Jerahmeel
2:34	Sesan|[Sesan] aber|but hatte|be thou nicht|not Söhne|old sondern|and Töchter|daughter Und|and Sesan|[Sesan] hatte|had einen|a ägyptischen|Egyptian Knecht|servant der|the hieß|name Jarha|[Jarha]
2:35	Und|and Sesan|[Sesan] gab|put Jarha|[Jarha] seinem|his Knecht|servant seine|his Tochter|daughter zum|as-a Weibe|wife die|the gebar|beget ihm|him Atthai|[Atthai]
2:36	Atthai|[Atthai] zeugte|beget Nathan|Nathan Nathan|Nathan zeugte|beget Sabad|Zabad
2:37	Sabad|Zabad zeugte|beget Ephlal|[Ephlal] Ephlal|[Ephlal] zeugte|beget Obed|Obed
2:38	Obed|Obed zeugte|beget Jehu|Jehu Jehu|Jehu zeugte|beget Asarja|Azariah
2:39	Asarja|Azariah zeugte|beget Helez|[Helez] Helez|[Helez] zeugte|beget Eleasa|[Eleasa]
2:40	Eleasa|[Eleasa] zeugte|beget Sisemai|[Sisemai] Sisemai|[Sisemai] zeugte|beget Sallum|Shallum
2:41	Sallum|Shallum zeugte|beget Jekamja|[Jekamja] Jekamja|[Jekamja] zeugte|beget Elisama|[Elisama]
2:42	Die|the Kinder|old Kalebs|Caleb des|of-the Bruder|brother Jerahmeels|Jerahmeel sind|are Mesa|Mesha sein|his erster|first Sohn|firstborn der|he ist|is der|the Vater|father Siphs|Ziph und|and die|the Kinder|old Maresas|Mareshah des|of-the Vaters|father's Hebrons|Hebron
2:43	Die|the Kinder|old aber|but Hebrons|Hebron sind|are Korah|Korah Tappuah|Tappuah Rekem|Rekem und|and Sama|Shema
2:44	Sama|Shema aber|but zeugte|beget Raham|[Raham] den|the Vater|father Jorkeams|[Jorkeams] Rekem|Rekem zeugte|beget Sammai|[Sammai]
2:45	Der|the Sohn|old aber|but Sammais|[Sammais] hieß|called Maon|Maon und|and Maon|Maon war|was der|the Vater|father Beth-|[Beth-] Zurs|Bethzur
2:46	Epha|Ephah aber|but das|the Kebsweib|concubine Kalebs|Caleb gebar|beget Haran|Haran Moza|[Moza] und|and Gases|[Gases] Haran|Haran aber|but zeugte|beget Gases|[Gases]
2:47	Die|the Kinder|old aber|but Jahdais|[Jahdais] sind|are Regem|[Regem] Jotham|Jotham Gesan|[Gesan] Pelet|[Pelet] Epha|Ephah und|and Saaph|[Saaph]
2:48	Aber|but Maacha|Maachah das|the Kebsweib|concubine Kalebs|Caleb gebar|beget Seber|[Seber] und|and Thirhena|[Thirhena]
2:49	und|and gebar|beget auch|also Saaph|[Saaph] den|the Vater|father Madmannas|Madmannah und|and Sewa|[Sewa] den|the Vater|father Machbenas|[Machbenas] und|and den|the Vater|father Gibeas|[Gibeas] Aber|but Achsa|Achsah war|was Kalebs|Caleb Tochter|daughter
2:50	Dies|this waren|be thou die|the Kinder|old Kalebs|Caleb die|the Söhne|old Hurs|Hur des|of-the ersten|firstborn Sohn|son s|firstborn von|from der|the Ephratha|[Ephratha] Sobal|Shobal der|the Vater|father Kirjath-|[Kirjath-] Jearims|Kirjathjearim
2:51	Salma|[Salma] der|the Vater|father Bethlehems|Bethlehem Hareph|[Hareph] der|the Vater|father Bethgaders|[Bethgaders]
2:52	Und|and Sobal|Shobal der|the Vater|father Kirjath-|[Kirjath-] Jearims|Kirjathjearim hatte|be thou Söhne|old Haroe|[Haroe] und|and die|the Hälfte|half der|the Manahthiter|[Manahthiter]
2:53	Die|the Freundschaften|families aber|but zu|to Kirjath-|[Kirjath-] Jearim|Kirjathjearim waren|were die|the Jethriter|[Jethriter] Puthiter|[Puthiter] Sumathiter|[Sumathiter] und|and Misraiter|[Misraiter] Von|stringed instrument diesen|this sind|are ausgegangen|bring die|the Zorathiter|[Zorathiter] und|and Esthaoliter|[Esthaoliter]
2:54	Die|the Kinder|old Salmas|[Salmas] sind|are Bethlehem|Bethlehem und|and die|the Netophathiter|Netophathite Atharoth|Ataroth des|of-the Hauses|household Joabs|[Joabs] und|and die|the Hälfte|half der|the Manahthiter|[Manahthiter] das|the sind|are die|the Zoraiter|[Zoraiter]
2:55	Und|and die|the Freundschaften|families der|the Schreiber|scribe die|the zu|to Jabez|[Jabez] wohnten|dwell sind|are die|the Thireathiter|[Thireathiter] Simeathiter|[Simeathiter] Suchathiter|[Suchathiter] Das|walk sind|are die|the Kiniter|Kenite die|the da|then gekommen|come sind|are von|stringed instrument Hammath|Hamath dem|the Vater|father des|of-the Hauses|household Rechabs|Rechab
3:1	Die|the sind|show die|the Kinder|old Davids|David die|the ihm|him zu|to Hebron|Hebron geboren|born sind|beget der|the erste|firstborn Amnon|[Amnon] von|from Ahinoam|[Ahinoam] der|the Jesreelitin|[Jesreelitin] der|the zweite|second Daniel|Daniel von|from Abigail|[Abigail] der|the Karmelitin|[Karmelitin]
3:2	der|the dritte|third Absalom|[Absalom] der|the Sohn|old Maachas|Maachah der|the Tochter|daughter Thalmais|Talmai des|of-the Königs|royal zu|to Gessur|Geshur der|the vierte|fourth Adonia|[Adonia] der|the Sohn|old Haggiths|[Haggiths]
3:3	der|the fünfte|fifth Sephatja|Shephatiah von|from Abital|[Abital] der|the sechste|sixth Jethream|[Jethream] von|from seinem|his Weibe|wife Egla|[Egla]
3:4	Diese|these sechs|six sind|are ihm|him geboren|beget zu|to Hebron|Hebron denn|for er|he regierte|reign daselbst|in it sieben|seven Jahre|year und|and sechs|six Monate|month aber|but zu|to Jerusalem|Jerusalem regierte|reign er|he dreiunddreißig|three Jahre|year
3:5	Und|and diese|these sind|are ihm|him geboren|beget zu|to Jerusalem|Jerusalem Simea|[Simea] Sobab|[Sobab] Nathan|Nathan Salomo|Solomon die|the vier|four von|from Bath-|[Bath-] Sua|Shua der|the Tochter|daughter Ammiels|Ammiel
3:6	dazu|also Jibhar|[Jibhar] Elisama|[Elisama] Eliphelet|[Eliphelet]
3:7	Nogah|[Nogah] Nepheg|Nepheg Japhia|Japhia
3:8	Elisama|[Elisama] Eljada|[Eljada] Eliphelet|[Eliphelet] die|the neun|nine
3:9	Das|the sind|are alles|all (manner Kinder|old Davids|David ohne|stringed instrument was|what der|the Kebsweiber|concubine Kinder|old waren|were Und|and Thamar|Tamar war|was ihre|their Schwester|sister
3:10	Salomos|Solomon Sohn|old war|was Rehabeam|[Rehabeam] des|of-the Sohn|old war|was Abia|[Abia] des|of-the Sohn|old war|was Asa|[Asa] des|of-the Sohn|old war|was Josaphat|Jehoshaphat
3:11	des|of-the Sohn|old war|was Joram|[Joram] des|of-the Sohn|old war|was Ahasja|[Ahasja] des|of-the Sohn|old war|was Joas|Joash
3:12	des|of-the Sohn|old war|was Amazja|[Amazja] des|of-the Sohn|old war|was Asarja|Azariah des|of-the Sohn|old war|was Jotham|Jotham
3:13	des|of-the Sohn|old war|was Ahas|[Ahas] des|of-the Sohn|old war|was Hiskia|Hezekiah des|of-the Sohn|old war|was Manasse|Manasseh
3:14	des|of-the Sohn|old war|was Amon|[Amon] des|of-the Sohn|old war|was Josia|Josiah
3:15	Josias|Josiah Söhne|old aber|but waren|were der|the erste|firstborn Johanan|Johanan der|the zweite|second Jojakim|Jehoiakim der|the dritte|third Zedekia|Zedekiah der|the vierte|fourth Sallum|Shallum
3:16	Aber|but die|the Kinder|old Jojakims|Jehoiakim waren|were Jechonja|Jeconiah des|of-the Sohnes|old war|was Zedekia|Zedekiah
3:17	Die|the Kinder|old aber|but Jechonjas|Jeconiah der|the gefangen|taken-captive ward|was waren|were Sealthiel|Shealtiel
3:18	Malchiram|[Malchiram] Pedaja|Pedaiah Seneazzar|[Seneazzar] Jekamja|[Jekamja] Hosama|[Hosama] Nedabja|[Nedabja]
3:19	Die|the Kinder|old Pedajas|Pedaiah waren|were Serubabel|Zerubbabel und|and Simei|Shimei Die|the Kinder|old Serubabels|Zerubbabel waren|were Mesullam|Meshullam und|and Hananja|Hananiah und|and ihre|their Schwester|sister Selomith|Shelomith
3:20	dazu|also Hasuba|[Hasuba] Ohel|[Ohel] Berechja|Berechiah Hasadja|[Hasadja] Jusab-|[Jusab-] Hesed|[Hesed] die|the fünf|five
3:21	Die|the Kinder|old aber|but Hananjas|Hananiah waren|were Pelatja|Pelatiah und|and Jesaja|Isaiah die|the Söhne|old Rephajas|Rephaiah die|the Söhne|old Arnans|[Arnans] die|the Söhne|old Obadja|Obadiah die|the Söhne|old Sechanjas|Shechaniah
3:22	Die|the Kinder|old aber|but Sechanjas|Shechaniah waren|were Semaja|Shemaiah Die|the Kinder|old Semajas|Shemaiah waren|were Hattus|Hattush Jigeal|Igal Bariah|[Bariah] Nearja|[Nearja] Saphat|Shaphat die|the sechs|six
3:23	Die|the Kinder|old aber|but Nearjas|[Nearjas] waren|were Eljoenai|[Eljoenai] Hiskia|Hezekiah Asrikam|Azrikam die|the drei|three
3:24	Die|the Kinder|old aber|but Eljoenais|[Eljoenais] waren|were Hodavja|[Hodavja] Eljasib|[Eljasib] Pelaja|Pelaiah Akkub|Akkub Johanan|Johanan Delaja|Delaiah Anani|[Anani] die|the sieben|seven
4:1	Die|the Kinder|old Juda|Judah s|Judah waren|were Perez|Pharez Hezron|Hezron Karmi|Carmi Hur|Hur und|and Sobal|Shobal
4:2	Reaja|Reaiah aber|but der|the Sohn|old Sobals|Shobal zeugte|beget Jahath|[Jahath] Jahath|[Jahath] zeugte|beget Ahumai|[Ahumai] und|and Lahad|[Lahad] Das|the sind|are die|the Freundschaften|families der|the Zorathiter|[Zorathiter]
4:3	Und|and dies|this ist|is der|the Stamm|[Stamm] des|of-the Vaters|father's Etams|Etam Jesreel|Jezreel Jisma|[Jisma] Jidbas|[Jidbas] und|and ihre|their Schwester|sister hieß|name Hazlelponi|[Hazlelponi]
4:4	und|and Pnuel|Penuel der|the Vater|father Gedors|[Gedors] und|and Eser|Ezer der|the Vater|father Husas|[Husas] Das|the sind|are die|the Kinder|old Hurs|Hur des|of-the ersten|firstborn Sohnes|firstborn der|the Ephrata|[Ephrata] des|of-the Vaters|father's Bethlehems|Bethlehem
4:5	Ashur|[Ashur] aber|but der|the Vater|father Thekoas|Tekoa hatte|be thou zwei|two Weiber|wives Helea|[Helea] und|and Naera|Naarah
4:6	Und|and Naera|Naarah gebar|beget ihm|him Ahussam|[Ahussam] Hepher|Hepher Themni|[Themni] Ahastari|[Ahastari] Das|the sind|are die|the Kinder|old Naeras|Naarah
4:7	Aber|but die|the Kinder|old Heleas|[Heleas] waren|were Zereth|[Zereth] Jizhar|Zoar und|and Ethnan|[Ethnan]
4:8	Koz|Koz aber|but zeugte|beget Anub|[Anub] und|and Hazobeba|[Hazobeba] und|and die|the Freundschaft|families Aharhels|[Aharhels] des|of-the Sohnes|old Harums|[Harums]
4:9	Jaebez|[Jaebez] aber|but war|be thou herrlicher|honour denn|stringed instrument seine|his Brüder|brothers und|and seine|his Mutter|mother hieß|name ihn|him Jaebez|[Jaebez] denn|and sie|they sprach|said Ich|I habe|have ihn|him mit|with Kummer|sorrow geboren|beget
4:10	Und|and Jaebez|[Jaebez] rief|call den|the Gott|God Israels|Israelites an|to und|and sprach|said Ach|oh daß|that du|you mich|me segnetest|bless und|and meine|my Grenze|border mehrtest|multiply und|and deine|your Hand|by mit|hide mir|me wäre|be thou und|and schafftest|make mit|stringed instrument dem|the Übel|evil daß|that mich|me s|[s] nicht|because un bekümmere|grieve Und|and Gott|God ließ|had kommen|come was|what er|he bat|ask
4:11	Kalub|[Kalub] aber|but der|the Bruder|brother Suhas|[Suhas] zeugte|beget Mehir|[Mehir] der|he ist|is der|the Vater|father Esthons|[Esthons]
4:12	Esthon|[Esthon] aber|but zeugte|beget Beth-|[Beth-] Rapha|[Rapha] Paseah|Paseah und|and Thehinna|[Thehinna] den|the Vater|father der|the Stadt|city Nahas|[Nahas] das|the sind|are die|the Männer|men von|from Recha|Rechabites
4:13	Die|the Kinder|old des|of-the Kenas|Kenaz waren|were Othniel|Othniel und|and Seraja|Seraiah Die|the Kinder|old aber|but Othniels|Othniel waren|were Hathath|[Hathath]
4:14	Und|and Meonothai|[Meonothai] zeuget|beget Ophra|Ophrah Und|and Seraja|Seraiah zeugte|beget Joab|Joab den|the Vater|father des|of-the Tals|valley der|the Zimmerleute|[Zimmerleute] denn|and sie|they waren|be thou Zimmerleute|craftsmen
4:15	Die|the Kinder|old aber|but Kalebs|Caleb des|of-the Sohnes|old Jephunnes|Jephunneh waren|were Iru|[Iru] Ela|Elah und|and Naam|[Naam] und|and die|the Kinder|old des|of-the Ela|Elah und|and Kenas|Kenaz
4:16	Die|the Kinder|old aber|but Jehallel-|[Jehallel-] Els|[Els] waren|were Siph|Ziph Sipha|[Sipha] Thirja|[Thirja] und|and Asareel|[Asareel]
4:17	Die|the Kinder|old aber|but Esras|[Esras] waren|were Jether|Jether Mered|[Mered] Epher|Epher und|and Jalon|[Jalon] Und|and das|the sind|are die|the Kinder|old Bithjas|[Bithjas] der|the Tochter|daughter Pharaos|Pharaoh die|the der|the Mered|[Mered] nahm|take sie|they gebar|conceive Mirjam|Miriam Sammai|[Sammai] Jesbah|[Jesbah] den|the Vater|father Esthemoas|[Esthemoas]
4:18	Und|and sein|his jüdisches|[jüdisches] Weib|wife gebar|beget Jered|Jared den|the Vater|father Gedors|[Gedors] Heber|Heber den|the Vater|father Sochos|Socoh Jekuthiel|[Jekuthiel] den|the Vater|father Sanoahs|Zanoah
