1:1	Petrus|Peter ein|a Apostel|[Apostel] Jesu|Jesus Christi|Christ den|the erwählten|elect Fremdlingen|pilgrim hin|away und|and her|dispersed in|in Pontus|Pontus Galatien|[Galatien] Kappadozien|Cappadocia Asien|[Asien] und|also Bithynien|[Bithynien]
2:1	So|then leget|[leget] nun|therefore ab|his-last alle|all Bosheit|malice und|also allen|all Betrug|guile und|also Heuchelei|hypocrisy und|also Neid|envy und|also alles|all Afterreden|[Afterreden]
2:2	und|and seid|are begierig|[begierig] nach|long der|the vernünftigen|reasonable lautern|[lautern] Milch|milk als|as die|the jetzt|was-giving-birth geborenen|[geborenen] Kindlein|babe auf|on daß|that ihr|you durch|by dieselbe|that zunehmet|[zunehmet]
2:3	so|though ihr|you anders|but geschmeckt|[geschmeckt] habt|taste daß|that der|the HERR|Lord freundlich|kind ist|is
2:4	zu|unto welchem|which ihr|you gekommen|come seid|come als|when zu|to dem|the lebendigen|live Stein|stone der|the von|of Menschen|man verworfen|[verworfen] ist|is aber|and bei|of Gott|god ist|is er|he auserwählt|elect und|and köstlich|precious
2:5	Und|and auch|also ihr|you als|as die|the lebendigen|live Steine|stone bauet|build euch|you zum|as-a geistlichem|spiritual Hause|house und|and zum|as-a heiligen|[heiligen] Priestertum|[Priestertum] zu|to opfern|[opfern] geistliche|spiritual Opfer|sacrifice die|the Gott|god angenehm|accepted sind|are durch|by Jesum|Jesus Christum|Christ
2:6	Darum|wherefore steht|of in|by der|the Schrift|scripture “|[“] Siehe|behold da|then ich|I lege|lay einen|a auserwählten|elect köstlichen|precious Eckstein|stone in|by Zion|Sion und|also wer|who an|on ihn|him glaubt|believe der|the soll|shall nicht|not zu|to Schanden|[Schanden] werden|ashamed ”|[”]
2:7	Euch|you nun|therefore die|which ihr|you glaubet|believe ist|is er|he köstlich|honour den|the Ungläubigen|[Ungläubigen] aber|and ist|is der|the Stein|stone den|which die|the Bauleute|build verworfen|[verworfen] haben|have der|this zum|into Eckstein|head geworden|become ist|be
2:8	ein|also Stein|stone des|of-the Anstoßens|stumbling und|also ein|a Fels|rock des|of-the Ärgernisses|offence denn|for sie|which stoßen|stumble sich|himself an|to dem|the Wort|word und|and glauben|believe nicht|not daran|by-this wozu|into sie|they auch|also gesetzt|made sind|lay
2:9	Ihr|ye aber|and seid|are das|the auserwählte|elect Geschlecht|kind das|the königliche|[königliche] Priestertum|[Priestertum] das|the heilige|[heilige] Volk|Gentiles das|the Volk|people des|of-the Eigentums|into daß|that ihr|you verkündigen|[verkündigen] sollt|shall die|the Tugenden|[Tugenden] des|of-the der|the euch|you berufen|[berufen] hat|call von|of der|the Finsternis|darkness zu|into seinem|his wunderbaren|marvellous Licht|light
2:10	die|which ihr|you weiland|sometimes nicht|no ein|a Volk|people waret|[waret] nun|now aber|and Gottes|god Volk|people seid|are und|which weiland|[weiland] nicht|no in|in Gnaden|[Gnaden] waret|have compassion nun|now aber|and in|in Gnaden|[Gnaden] seid|have compassion
2:11	Liebe|my Brüder|brothers ich|I ermahne|beseech euch|you als|as die|the Fremdlinge|pilgrim und|also Pilgrime|stranger enthaltet|[enthaltet] euch|you von|from fleischlichen|carnal Lüsten|lust welche|which wider|after die|the Seele|soul streiten|war
2:12	und|and führet|have einen|your guten|good Wandel|[Wandel] unter|by den|the Heiden|Gentiles auf|on daß|that die|the so|which von|by euch|your afterreden|speak against als|as von|from Übeltätern|evildoer eure|your guten|good Werke|work sehen|see und|and Gott|god preisen|glorify wenn|when es|it nun|now an|by den|the Tag|day kommen|visitation wird|will
2:13	Seid|therefore untertan|be under obedience aller|all menschlichen|man's Ordnung|creature um|by des|of-the HERRN|Lord willen|sake es|it sei|or dem|the König|King als|as dem|the Obersten|higher
2:14	oder|or den|the Hauptleuten|governor als|as die|the von|by ihm|him gesandt|sent sind|send zur|into Rache|vengeance über|indeed die|the Übeltäter|evildoer und|and zu|to Lobe|praise den|the Frommen|[Frommen]
2:15	Denn|that das|so ist|is der|the Wille|will Gottes|god daß|that ihr|you mit|with Wohltun|do-good verstopft|muzzle die|the Unwissenheit|[Unwissenheit] der|the törichten|[törichten] Menschen|man
2:16	als|as die|the Freien|free und|also nicht|not als|when hättet|have ihr|you die|the Freiheit|liberty zum|as Deckel|[Deckel] der|the Bosheit|malice sondern|but als|as die|the Knechte|servant Gottes|god
2:17	Tut|do Ehre|honour jedermann|all habt|have die|the Brüder|brothers lieb|loved fürchtet|fear Gott|god ehret|honour den|the König|King
2:18	Ihr|you Knechte|servant seid|are untertan|be under obedience mit|by aller|all Furcht|fear den|the Herren|Lord nicht|no allein|only den|the gütigen|[gütigen] und|also gelinden|gentle sondern|but auch|also den|the wunderlichen|crooked
2:19	Denn|and das|this ist|is Gnade|grace so|if jemand|certain um|by des|of-the Gewissens|conscience willen|by zu|to Gott|god das|the Übel|sorrow verträgt|[verträgt] und|and leidet|suffer das|the Unrecht|wrong
2:20	Denn|and was|what ist|is das|the für|for ein|a Ruhm|[Ruhm] so|if ihr|you um|also Missetat|transgression willen|also Streiche|buffet leidet|endure Aber|but wenn|if ihr|you um|for Wohltat|[Wohltat] willen|sake leidet|suffer und|also erduldet|endure das|this ist|is Gnade|grace bei|of Gott|god
2:21	Denn|and dazu|into seid|are ihr|you berufen|call sintemal|that auch|also Christus|Christ gelitten|[gelitten] hat|suffer für|for uns|our und|and uns|us ein|a Vorbild|[Vorbild] gelassen|[gelassen] daß|that ihr|you sollt|shall nachfolgen|follow seinen|his Fußtapfen|step
2:22	welcher|which keine|no Sünde|sin getan|done hat|do ist|is auch|also kein|neither Betrug|guile in|by seinem|his Munde|mouth erfunden|find
2:23	welcher|which nicht|no wiederschalt|[wiederschalt] da|then er|he gescholten|[gescholten] ward|revile nicht|no drohte|[drohte] da|then er|he litt|suffer er|he stellte|deliver es|it aber|and dem|the anheim|deliver der|the da|then recht|justly richtet|judge
2:24	welcher|which unsre|our Sünden|sins selbst|itself hinaufgetragen|[hinaufgetragen] hat|has an|by seinem|his Leibe|body auf|on das|the Holz|tree auf|on daß|that wir|we der|the Sünde|sin abgestorben|[abgestorben] der|the Gerechtigkeit|righteousness leben|live durch|which welches|in-the Wunden|[Wunden] ihr|you seid|are heil|salvation geworden|heal
2:25	Denn|and ihr|you waret|was wie|as die|the irrenden|deceive Schafe|sheep aber|but ihr|you seid|are nun|now bekehrt|turn zu|on dem|the Hirten|shepherd und|also Bischof|bishop eurer|your Seelen|soul
3:1	Desgleichen|likewise sollen|shall die|the Weiber|women ihren|privately Männern|men untertan|subject sein|be under obedience auf|on daß|that auch|also die|the so|whosoever nicht|not glauben|believe an|to das|the Wort|word durch|by der|the Weiber|women Wandel|[Wandel] ohne|without Wort|word gewonnen|gotten werden|gain
3:2	wenn|when sie|they ansehen|see euren|your keuschen|[keuschen] Wandel|[Wandel] in|by der|the Furcht|fear
3:3	Ihr|which Schmuck|world soll|be nicht|no auswendig|without sein|be mit|with Haarflechten|[Haarflechten] und|also Goldumhängen|[Goldumhängen] oder|or Kleideranlegen|garment
3:4	sondern|but der|the verborgene|secret Mensch|man des|of-the Herzens|heart unverrückt|by mit|with sanftem|meek und|also stillem|[stillem] Geiste|Spirit das|which ist|is köstlich|costly vor|before Gott|god
3:5	Denn|and also|so haben|adorn sich|himself auch|also vorzeiten|sometimes die|the heiligen|[heiligen] Weiber|women geschmückt|adorn die|which ihre|their Hoffnung|trust auf|on Gott|god setzten|trust und|and ihren|privately Männern|men untertan|subject waren|be under obedience
3:6	wie|as die|the Sara|Sarah Abraham|Abraham gehorsam|obedient war|obey und|and hieß|call ihn|him Herr|Lord deren|which Töchter|child ihr|you geworden|become seid|be so|then ihr|you wohltut|[wohltut] und|also euch|you nicht|not laßt|let schüchtern|[schüchtern] machen|fear
3:7	Desgleichen|likewise ihr|you Männer|men wohnet|[wohnet] bei|with ihnen|them mit|after Vernunft|knowledge und|and gebet|[gebet] dem|the weiblichen|[weiblichen] als|as dem|the schwächeren|[schwächeren] Werkzeuge|vessel seine|his Ehre|honour als|as die|the auch|also Miterben|fellow -heir sind|are der|the Gnade|grace des|of-the Lebens|life auf|on daß|into eure|your Gebete|prayer nicht|not verhindert|[verhindert] werden|cut down(off
3:8	Endlich|end aber|and seid|are allesamt|all gleichgesinnt|[gleichgesinnt] mitleidig|[mitleidig] brüderlich|[brüderlich] barmherzig|tenderhearted freundlich|good
3:9	Vergeltet|[Vergeltet] nicht|not Böses|evil mit|with Bösem|evil oder|or Scheltwort|[Scheltwort] mit|with Scheltwort|[Scheltwort] sondern|and dagegen|contrariwise segnet|blessing und|and wisset|know daß|that ihr|you dazu|into berufen|[berufen] seid|call daß|that ihr|you den|the Segen|bless erbet|inherit
3:10	Denn|and wer|who leben|life will|desire und|also gute|good Tage|day sehen|know der|the schweige|cease seine|his Zunge|tongue daß|that sie|they nichts|nothing Böses|evil rede|words und|also seine|his Lippen|lip daß|that sie|they nicht|not trügen|guile
3:11	Er|he wende|turn sich|eschew vom|from-the Bösen|evil und|also tue|do Gutes|good er|he suche|seek Frieden|peace und|also jage|persecute ihm|him nach|persecute
3:12	Denn|that die|the Augen|eye des|of-the HERRN|Lord merken|know auf|on die|the Gerechten|righteous und|also seine|his Ohren|ear auf|into ihr|you Gebet|prayer das|the Angesicht|face aber|and des|of-the HERRN|Lord steht|is wider|on die|the die|the Böses|evil tun|do
3:13	Und|also wer|what ist|is der|the euch|you schaden|harm könnte|vex so|if ihr|you dem|the Gutem|good nachkommt|follower
3:14	Und|and ob|if ihr|you auch|also leidet|suffer um|by Gerechtigkeit|righteousness willen|by so|then seid|blessed ihr|you doch|please selig|blessed Fürchtet|fear euch|fear aber|and vor|before ihrem|her Trotzen|fear nicht|not und|that erschrecket|trouble nicht|not
3:15	heiligt|[heiligt] aber|and Gott|god den|the HERRN|Lord in|by euren|your Herzen|heart Seid|are allezeit|[allezeit] bereit|ready zur|unto Verantwortung|[Verantwortung] jedermann|all der|the Grund|word fordert|ask der|of Hoffnung|hope die|the in|by euch|you ist|is
3:16	und|and das|the mit|with Sanftmütigkeit|meekness und|also Furcht|fear und|and habt|have ein|a gutes|good Gewissen|conscience auf|on daß|that die|the so|which von|by euch|your afterreden|speak against als|as von|from Übeltätern|evildoer zu|to Schanden|[Schanden] werden|ashamed daß|that sie|they geschmäht|[geschmäht] haben|use despitefully euren|your guten|good Wandel|[Wandel] in|by Christo|Christ
3:17	Denn|and es|it ist|is besser|better so|if es|it Gottes|god Wille|will ist|desire daß|that ihr|you von|from Wohltat|[Wohltat] wegen|[wegen] leidet|suffer als|or von|from Übeltat|do evil wegen|[wegen]
3:18	Sintemal|that auch|also Christus|Christ einmal|once für|of unsre|our Sünden|sins gelitten|[gelitten] hat|suffer der|the Gerechte|righteous für|for die|the Ungerechten|[Ungerechten] auf|on daß|that er|he uns|us zu|to Gott|god führte|bring und|indeed ist|is getötet|kill nach|after dem|the Fleisch|flesh aber|and lebendig|alive gemacht|quicken nach|after dem|the Geist|Spirit
3:19	In|by demselben|which ist|go er|he auch|also hingegangen|go und|and hat|has gepredigt|preach den|the Geistern|Spirit im|by Gefängnis|prison
3:20	die|the vorzeiten|sometimes nicht|not glaubten|[glaubten] da|when Gott|god harrte|expect und|and Geduld|longsuffering hatte|had zu|by den|the Zeiten|day Noahs|Noe da|then man|one die|the Arche|ark zurüstete|prepare in|in welcher|into wenige|few das|the ist|that is acht|eight Seelen|soul gerettet|[gerettet] wurden|escape durchs|by Wasser|water
3:21	welches|which nun|now auch|also uns|us selig|happy macht|save in|in der|the Taufe|[Taufe] die|the durch|through jenes|that bedeutet|means ist|is nicht|no das|the Abtun|[Abtun] des|of-the Unflats|[Unflats] am|on-the Fleisch|flesh sondern|but der|the Bund|covenant eines|one guten|good Gewissens|conscience mit|into Gott|god durch|by die|the Auferstehung|[Auferstehung] Jesu|Jesus Christi|Christ
3:22	welcher|which ist|is zur|by Rechten|right Gottes|god in|in den|into Himmel|heaven gefahren|go und|and sind|be under obedience ihm|him untertan|be under obedience die|the Engel|angel und|also die|the Gewaltigen|power und|also die|the Kräfte|power
4:1	Weil|because nun|therefore Christus|Christ im|in-the Fleisch|flesh für|for uns|our gelitten|[gelitten] hat|suffer so|then wappnet|[wappnet] euch|ye auch|also mit|with demselben|to-him Sinn|intent denn|that wer|who am|by Fleisch|flesh leidet|suffer der|the hört|hear auf|cease von|from Sünden|sins
4:2	daß|into er|he hinfort|no die|the noch|still übrige|remaining Zeit|time im|by Fleisch|flesh nicht|not der|the Menschen|man Lüsten|lust sondern|but dem|the Willen|will Gottes|god lebe|live
4:3	Denn|and es|it ist|us genug|enough daß|that wir|we die|the vergangene|pass Zeit|time des|of-the Lebens|life zugebracht|brought haben|work nach|after heidnischem|Gentiles Willen|will da|then wir|we wandelten|go in|by Unzucht|[Unzucht] Lüsten|lust Trunkenheit|[Trunkenheit] Fresserei|revelling Sauferei|[Sauferei] und|also greulichen|[greulichen] Abgöttereien|idolatry
4:4	Das|by befremdet|[befremdet] sie|lodge daß|that ihr|your nicht|not mit|run ihnen|them laufet|run in|into dasselbe|the wüste|wilderness unordentliche|[unordentliche] Wesen|thing und|and sie|they lästern|[lästern]
4:5	aber|but sie|which werden|be Rechenschaft|word geben|give dem|the der|the bereit|ready ist|have zu|to richten|judge die|the Lebendigen|live und|also die|the Toten|dead
4:6	Denn|and dazu|into ist|is auch|also den|the Toten|dead das|the Evangelium|[Evangelium] verkündigt|preach auf|on daß|that sie|indeed gerichtet|vindicated werden|judge nach|after dem|the Menschen|man am|on-the Fleisch|flesh aber|and im|after Geist|Spirit Gott|god leben|live
4:7	Es|it ist|approach aber|and nahe|near gekommen|approach das|the Ende|end aller|all Dinge|all
4:8	So|then seid|soberly nun|therefore mäßig|[mäßig] und|also nüchtern|[nüchtern] zum|into Gebet|prayer Vor|before allen|all Dingen|before aber|and habt|have untereinander|into eine|a inbrünstige|fervent Liebe|my denn|that die|the Liebe|my deckt|cover auch|also der|the Sünden|sins Menge|multitude
4:9	Seid|are gastfrei|given to (loverof untereinander|into ohne|without Murren|murmuring
4:10	Und|and dienet|serve einander|into ein|a jeglicher|every mit|as der|the Gabe|gift die|the er|he empfangen|receive hat|receive als|as die|the guten|good Haushalter|steward der|the mancherlei|divers Gnade|grace Gottes|god
4:11	so|then jemand|whosoever redet|speak daß|that er|he s|[s] rede|words als|as Gottes|god Wort|oracle so|then jemand|whosoever ein|a Amt|position hat|serve daß|that er|he s|[s] tue|do als|as aus|of dem|the Vermögen|strength das|which Gott|god darreicht|[darreicht] auf|on daß|that in|by allen|all Dingen|all Gott|god gepriesen|[gepriesen] werde|glorify durch|by Jesum|Jesus Christum|Christ welchem|which sei|is Ehre|glory und|also Gewalt|power von|into Ewigkeit|[Ewigkeit] zu|to Ewigkeit|[Ewigkeit] Amen|[Amen]
4:12	Ihr|you Lieben|[Lieben] lasset|lodge euch|you die|the Hitze|burning so|then euch|you begegnet|by nicht|not befremden|lodge die|the euch|you widerfährt|be daß|unto ihr|you versucht|[versucht] werdet|temptation als|as widerführe|happen euch|you etwas|anything Seltsames|stranger
4:13	sondern|but freuet|[freuet] euch|rejoice daß|as ihr|you mit|communicate Christo|Christ leidet|communicate auf|on daß|that ihr|you auch|also zur|to-the Zeit|by der|the Offenbarung|[Offenbarung] seiner|his Herrlichkeit|glory Freude|rejoice und|and Wonne|[Wonne] haben|have möget|may
4:14	Selig|happy seid|are ihr|blessed wenn|if ihr|you geschmäht|[geschmäht] werdet|upbraid über|by den|the Namen|name Christi|Christ denn|that der|the Geist|Spirit der|the ein|a Geist|Spirit der|the Herrlichkeit|glory und|also Gottes|god ist|is ruht|crouching auf|on euch|you Bei|after ihnen|them ist|is er|indeed verlästert|[verlästert] aber|and bei|after euch|you ist|is er|he gepriesen|glorify
4:15	Niemand|not aber|and unter|under euch|your leide|suffer als|as ein|a Mörder|murderer oder|or Dieb|thief oder|or Übeltäter|evildoer oder|or der|the in|in ein|a fremdes|[fremdes] Amt|position greift|[greift]
4:16	Leidet|if er|he aber|and als|as ein|a Christ|Christian so|then schäme|[schäme] er|he sich|himself nicht|not er|he ehre|glorify aber|and Gott|god in|by solchem|this Fall|part
4:17	Denn|that es|it ist|is Zeit|time daß|that anfange|[anfange] das|the Gericht|judgment an|to dem|the Hause|house Gottes|god So|if aber|and zuerst|first an|to uns|our was|what will|will s|[s] für|for ein|a Ende|end werden|be mit|with denen|them die|the dem|the Evangelium|gospel nicht|not glauben|believe
4:18	Und|also so|if der|the Gerechte|righteous kaum|scarce erhalten|preserve wird|save wo|where will|will der|the Gottlose|wicked und|also Sünder|[Sünder] erscheinen|appear
4:19	Darum|wherefore welche|which da|then leiden|suffer nach|after Gottes|god Willen|will die|the sollen|shall ihm|him ihre|himself Seelen|soul befehlen|commit als|as dem|the treuen|faithful Schöpfer|[Schöpfer] in|by guten|good Werken|works
5:1	Die|the Ältesten|elder so|then unter|by euch|you sind|are ermahne|beseech ich|I der|which Mitälteste|[Mitälteste] und|also Zeuge|witness der|the Leiden|suffering die|the in|in Christo|Christ sind|are und|also auch|also teilhaftig|partaker der|the Herrlichkeit|glory die|the offenbart|revealed-himself werden|be soll|shall
5:2	Weidet|feed die|the Herde|flock Christi|god die|the euch|you befohlen|by ist|is und|and sehet|lookdiligently wohl|well zu|lookdiligently nicht|not gezwungen|[gezwungen] sondern|but willig|wilfully nicht|neither um|for schändlichen|[schändlichen] Gewinns|[Gewinns] willen|sake sondern|but von|from Herzensgrund|[Herzensgrund]
5:3	nicht|neither als|as übers|[übers] Volk|lot herrschen|overcome sondern|but werdet|will Vorbilder|ensample der|the Herde|flock
5:4	So|then werdet|receive ihr|you wenn|when erscheinen|[erscheinen] wird|appear der|the Erzhirte|[Erzhirte] die|the unverwelkliche|[unverwelkliche] Krone|crown der|the Ehren|glory empfangen|receive
5:5	Desgleichen|likewise ihr|you Jüngeren|new seid|are untertan|be under obedience den|the Ältesten|elder Allesamt|all seid|be under obedience untereinander|to-one-another untertan|be under obedience und|and haltet|delay fest|firmly an|to der|the Demut|humility Denn|that Gott|god widersteht|[widersteht] den|the Hoffärtigen|proud aber|and den|the Demütigen|humble gibt|gives er|give Gnade|grace
5:6	So|then demütiget|[demütiget] euch|humble nun|therefore unter|of die|the gewaltige|mighty-ones Hand|hand Gottes|god daß|that er|he euch|you erhöhe|exalt zu|by seiner|his Zeit|time
5:7	Alle|all Sorge|care werfet|cast auf|on ihn|him denn|that er|he sorgt|care für|of euch|your
5:8	Seid|are nüchtern|[nüchtern] und|and wachet|watch denn|that euer|your Widersacher|[Widersacher] der|the Teufel|devil geht|goes umher|walk wie|as ein|a brüllender|[brüllender] Löwe|lion und|and sucht|seek welchen|what er|he verschlinge|swallow
5:9	Dem|which widerstehet|[widerstehet] fest|strong im|in-the Glauben|faith und|and wisset|know daß|that ebendieselben|the-same Leiden|suffering über|over eure|your Brüder|brothers in|by der|the Welt|world gehen|perform
5:10	Der|the Gott|god aber|and aller|all Gnade|grace der|which uns|us berufen|[berufen] hat|call zu|into seiner|his ewigen|everlasting Herrlichkeit|glory in|by Christo|Christ Jesu|Jesus der|the wird|will euch|you die|the ihr|you eine|a kleine|[kleine] Zeit|few leidet|suffer vollbereiten|perfect stärken|stablish kräftigen|[kräftigen] gründen|found
5:11	Ihm|him sei|be Ehre|glory und|also Macht|power von|into Ewigkeit|[Ewigkeit] zu|to Ewigkeit|[Ewigkeit] Amen|[Amen]
5:12	Durch|by euren|you treuen|faithful Bruder|brother Silvanus|[Silvanus] wie|as ich|I achte|think habe|have ich|I euch|you ein|by wenig|few geschrieben|write zu|to ermahnen|beseech und|also zu|to bezeugen|[bezeugen] daß|that das|this die|the rechte|right Gnade|grace Gottes|god ist|be darin|into ihr|you stehet|stand
5:13	Es|it grüßen|[grüßen] euch|you die|the samt|along-with euch|you auserwählt|[auserwählt] sind|are zu|by Babylon|[Babylon] und|also mein|my Sohn|son Markus|Mark
5:14	Grüßet|[Grüßet] euch|you untereinander|to-one-another mit|by dem|the Kuß|kiss der|the Liebe|my Friede|peace sei|be mit|you allen|all die|the in|by Christo|Christ Jesu|Jesus sind|are Amen|[Amen]
