1:1	Paulus|Paul ein|a Knecht|servant Jesu|Jesus Christi|Christ berufen|called zum|as-a Apostel|[Apostel] ausgesondert|[ausgesondert] zu|into predigen|call das|the Evangelium|gospel Gottes|god
1:15	Darum|so soviel|after an|to mir|me ist|me bin|am ich|I geneigt|ready auch|also euch|you zu|by Rom|Rome das|the Evangelium|[Evangelium] zu|to predigen|preach
1:16	Denn|and ich|I schäme|[schäme] mich|be ashamed des|of-the Evangeliums|gospel von|from Christo|Christ nicht|no denn|and es|it ist|is eine|a Kraft|power Gottes|god die|the da|into selig|happy macht|salvation alle|all die|the daran|by-this glauben|believe die|the Juden|Jew vornehmlich|first und|and auch|also die|the Griechen|Greek
1:17	Sintemal|and darin|by offenbart|revealed-himself wird|will die|the Gerechtigkeit|righteousness die|the vor|before Gott|god gilt|[gilt] welche|which kommt|comes aus|of Glauben|faith in|into Glauben|faith wie|as denn|for geschrieben|[geschrieben] steht|write “Der|[“Der] Gerechte|righteous wird|live seines|of Glaubens|faith leben|live ”|[”]
1:18	Denn|and Gottes|god Zorn|wrath vom|from-the Himmel|heaven wird|will offenbart|revealed-himself über|on alles|all gottlose|wicked Wesen|thing und|also Ungerechtigkeit|[Ungerechtigkeit] der|the Menschen|man die|the die|the Wahrheit|faithfulness in|by Ungerechtigkeit|[Ungerechtigkeit] aufhalten|hold
1:19	Denn|because was|what man|one von|from Gott|god weiß|known ist|is ihnen|by offenbar|manifest denn|and Gott|god hat|appear es|it ihnen|them offenbart|appear
1:20	damit|and daß|that Gottes|of-God unsichtbares|[unsichtbares] Wesen|thing das|the ist|is seine|his ewige|[ewige] Kraft|power und|also Gottheit|Godhead wird|will ersehen|understand so|then man|one des|of-the wahrnimmt|clearly see an|to den|the Werken|workmanship nämlich|namely an|to der|the Schöpfung|creature der|the Welt|world also|into daß|that sie|they keine|no Entschuldigung|[Entschuldigung] haben|be
1:21	dieweil|because sie|they wußten|know daß|that ein|a Gott|god ist|is und|and haben|glorify ihn|him nicht|no gepriesen|glorify als|as einen|a Gott|god noch|or ihm|him gedankt|thank sondern|but sind|become vain in|by ihrem|her Dichten|thought eitel|bitter geworden|become vain und|also ihr|you unverständiges|[unverständiges] Herz|heart ist|is verfinstert|darken
1:22	Da|then sie|they sich|say für|be Weise|wise hielten|say sind|are sie|they zu|to Narren|[Narren] geworden|become fool
1:23	und|also haben|have verwandelt|[verwandelt] die|the Herrlichkeit|glory des|of-the unvergänglichen|[unvergänglichen] Gottes|god in|by ein|a Bild|image gleich|likeness dem|the vergänglichen|corruptible Menschen|man und|also der|the Vögel|fowl und|also der|the vierfüßigen|fourfooted beast und|also der|the kriechenden|[kriechenden] Tiere|serpent
1:24	Darum|wherefore hat|deliver sie|they auch|also Gott|god dahingegeben|deliver in|by ihrer|their Herzen|heart Gelüste|lust in|into Unreinigkeit|[Unreinigkeit] zu|to schänden|[schänden] ihre|their eigenen|own Leiber|body an|by sich|himself selbst|himself
1:25	sie|which die|the Gottes|god Wahrheit|faithfulness haben|have verwandelt|change in|by die|the Lüge|lie und|also haben|have geehrt|worship und|also gedient|serve dem|the Geschöpfe|creature mehr|more denn|of dem|the Schöpfer|create der|which da|then gelobt|blessed ist|is in|into Ewigkeit|[Ewigkeit] Amen|[Amen]
1:26	Darum|by hat|deliver sie|they auch|also Gott|god dahingegeben|deliver in|into schändliche|[schändliche] Lüste|affection denn|and ihre|their Weiber|woman haben|have verwandelt|change den|the natürlichen|natural Brauch|use in|into den|the unnatürlichen|of
1:27	desgleichen|and auch|also die|the Männer|men haben|have verlassen|leave den|the natürlichen|natural Brauch|use des|of-the Weibes|woman und|and sind|burn aneinander|into erhitzt|burn in|by ihren|their Lüsten|lust und|and haben|work Mann|man mit|by Mann|man Schande|disgrace getrieben|work und|also den|the Lohn|wages ihres|her Irrtums|error wie|as es|which denn|for sein|his sollte|must an|by sich|himself selbst|himself empfangen|receive
1:28	Und|also gleichwie|as sie|they nicht|no geachtet|eyes haben|prove daß|that sie|they Gott|god erkenneten|have hat|has sie|they Gott|god auch|also dahingegeben|deliver in|into verkehrten|[verkehrten] Sinn|mind zu|to tun|do was|what nicht|not taugt|fit
1:29	voll|fulfil alles|all Ungerechten|[Ungerechten] Hurerei|fornication Schalkheit|wickedness Geizes|covetousness Bosheit|malice voll|full Neides|envy Mordes|murder Haders|strife List|guile giftig|malignity Ohrenbläser|[Ohrenbläser]
1:30	Verleumder|backbiter Gottesverächter|haterof God Frevler|despiteful hoffärtig|proud ruhmredig|[ruhmredig] Schädliche|inventor den|the Eltern|parents ungehorsam|[ungehorsam]
1:31	Unvernünftige|[Unvernünftige] Treulose|[Treulose] Lieblose|[Lieblose] unversöhnlich|[unversöhnlich] unbarmherzig|[unbarmherzig]
1:32	Sie|which wissen|know Gottes|god Gerechtigkeit|righteousness daß|that die|the solches|such tun|do des|of-the Todes|death würdig|[würdig] sind|are und|and tun|do es|it nicht|no allein|only sondern|but haben|have auch|also Gefallen|allow an|to denen|them die|the es|it tun|do
2:1	Darum|wherefore o|O Mensch|man kannst|be du|you dich|you nicht|not entschuldigen|[entschuldigen] wer|all du|you auch|also bist|are der|the da|then richtet|judge Denn|and worin|by du|you einen|a andern|another richtest|judge verdammst|condemn du|you dich|you selbst|thyself sintemal|and du|you eben|on-that dasselbe|the tust|do was|what du|you richtest|judge
2:2	Denn|and wir|we wissen|know daß|that Gottes|god Urteil|judgment ist|is recht|right über|on die|the so|then solches|such tun|do
2:3	Denkst|[Denkst] du|think aber|and o|O Mensch|man der|the du|you richtest|judge die|the die|the solches|such tun|do und|also tust|do auch|also dasselbe|the daß|that du|thou dem|the Urteil|judgment Gottes|god entrinnen|escape werdest|escape
2:4	Oder|or verachtest|[verachtest] du|despise den|the Reichtum|riches seiner|his Güte|goodness Geduld|[Geduld] und|also Langmütigkeit|longsuffering Weißt|know du|you nicht|not daß|that dich|thee Gottes|god Güte|kind zur|into Buße|repentance leitet|[leitet]
2:5	Du|you aber|and nach|after deinem|thy verstockten|hardness und|also unbußfertigen|[unbußfertigen] Herzen|heart häufest|lay up dir|you selbst|thyself den|the Zorn|wrath auf|by den|the Tag|day des|of-the Zornes|wrath und|also der|the Offenbarung|[Offenbarung] des|of-the gerechten|righteous Gerichtes|righteous judgment Gottes|god
2:6	welcher|which geben|give wird|will einem|a jeglichen|every nach|after seinen|his Werken|work
2:7	Preis|glory und|also Ehre|honour und|also unvergängliches|[unvergängliches] Wesen|thing denen|them die|the mit|indeed Geduld|patience in|in guten|good Werken|work trachten|seek nach|after dem|the ewigen|everlasting Leben|life
2:8	aber|and denen|them die|the da|then zänkisch|[zänkisch] sind|of und|also der|the Wahrheit|faithfulness nicht|not gehorchen|[gehorchen] gehorchen|persuade aber|and der|the Ungerechtigkeit|[Ungerechtigkeit] Ungnade|wrath und|also Zorn|wrath
2:9	Trübsal|tribulation und|also Angst|distress über|on alle|all Seelen|soul der|the Menschen|man die|the da|then Böses|evil tun|work vornehmlich|first der|the Juden|Jew und|and auch|also der|the Griechen|Greek
2:10	Preis|glory aber|and und|and Ehre|honour und|also Friede|peace allen|all denen|all die|the da|then Gutes|good tun|work vornehmlich|first den|the Juden|Jew und|and auch|also den|the Griechen|Greek
2:11	Denn|and es|it ist|is kein|no Ansehen|see der|the Person|respect of persons vor|of Gott|god
2:12	Welche|whatsoever ohne|without Gesetz|instructions gesündigt|sinned haben|have die|the werden|be auch|also ohne|without Gesetz|instructions verloren|[verloren] werden|be und|also welche|whatsoever unter|by dem|the Gesetz|law gesündigt|sinned haben|have die|the werden|judge durchs|by Gesetz|law verurteilt|[verurteilt] werden|judge
2:13	sintemal|and vor|of Gott|god nicht|no die|the das|the Gesetz|law hören|hears gerecht|righteous sind|righteous sondern|but die|the das|the Gesetz|law tun|doer werden|be gerecht|righteous sein|justify
2:14	Denn|and so|when die|the Heiden|Gentiles die|which das|the Gesetz|law nicht|not haben|have doch|please von|from Natur|nature tun|do des|of-the Gesetzes|law Werk|which sind|are dieselben|this dieweil|since sie|they das|the Gesetz|law nicht|not haben|have sich|himself selbst|himself ein|a Gesetz|law
2:15	als|when die|which da|then beweisen|show des|of-the Gesetzes|law Werk|work sei|be geschrieben|written in|by ihren|their Herzen|heart sintemal|since ihr|you Gewissen|conscience ihnen|them zeugt|testify unto dazu|also auch|also die|the Gedanken|thought die|the sich|himself untereinander|between verklagen|accuse oder|or entschuldigen|[entschuldigen]
2:16	auf|by den|the Tag|day da|when Gott|god das|the Verborgene|secret der|the Menschen|man durch|by Jesus|Jesus Christus|Christ richten|judge wird|judge laut|after meines|my Evangeliums|gospel
2:17	Siehe|behold aber|but zu|to du|thou heißest|call ein|a Jude|Jew und|also verlässest|rest dich|you aufs|to-the Gesetz|law und|also rühmest|[rühmest] dich|glory Gottes|god
2:18	und|also weißt|know seinen|his Willen|will und|also weil|because du|you aus|of dem|the Gesetz|law unterrichtet|[unterrichtet] bist|instruct prüfest|prove du|you was|what das|the Beste|[Beste] zu|to tun|do sei|publish
2:19	und|and vermissest|persuade dich|thyself zu|to sein|be ein|a Leiter|guide der|the Blinden|blind ein|a Licht|light derer|[derer] die|the in|by Finsternis|darkness sind|are
2:20	ein|a Züchtiger|instructor der|the Törichten|[Törichten] ein|a Lehrer|teacher der|the Einfältigen|child hast|have die|the Form|form was|what zu|to wissen|knowledge und|also recht|right ist|is im|by Gesetz|law
2:21	Nun|therefore lehrst|teach du|which andere|another und|and lehrst|[lehrst] dich|teach selber|thyself nicht|no du|you predigst|preach man|one solle|steal nicht|not stehlen|steal und|and du|you stiehlst|steal
2:22	du|you sprichst|speak man|one solle|commit adultery nicht|not ehebrechen|commit adultery und|and du|you brichst|[brichst] die|the Ehe|commit adultery dir|you greuelt|[greuelt] vor|before den|the Götzen|idol und|and du|you raubest|[raubest] Gott|God was|what sein|his ist|is
2:23	du|which rühmst|[rühmst] dich|glory des|by Gesetzes|law und|and schändest|[schändest] Gott|god durch|by Übertretung|transgression des|of-the Gesetzes|law
2:24	denn|and “|[“] eurethalben|by wird|will Gottes|god Name|name gelästert|[gelästert] unter|by den|the Heiden|Gentiles ”|[”] wie|as geschrieben|[geschrieben] steht|write
2:25	Die|and Beschneidung|circumcision ist|profit wohl|indeed nütz|profit wenn|if du|you das|the Gesetz|law hältst|do hältst|be du|you das|the Gesetz|law aber|and nicht|transgressor so|then bist|are du|thy aus|from einem|a Beschnittenen|circumcision schon|already ein|a Unbeschnittener|[Unbeschnittener] geworden|be
2:26	So|therefore nun|if der|the Unbeschnittene|[Unbeschnittene] das|the Gesetz|righteousness hält|keep meinst|thinks du|you nicht|not daß|that da|then der|the Unbeschnittene|[Unbeschnittene] werde|think für|into einen|a Beschnittenen|circumcision gerechnet|think
2:27	Und|also wird|judge also|so der|the von|of Natur|nature unbeschnitten|[unbeschnitten] ist|is und|and das|the Gesetz|law vollbringt|finish dich|thee richten|judge der|the du|you unter|by dem|the Buchstaben|letter und|also der|the Beschneidung|circumcision bist|are und|and das|the Gesetz|law übertrittst|transgressor
2:28	Denn|and das|the ist|is nicht|no ein|a Jude|Jew der|the auswendig|by ein|a Jude|[Jude] ist|by auch|neither ist|is das|the nicht|neither eine|a Beschneidung|circumcision die|the auswendig|by am|by Fleisch|flesh geschieht|by
2:29	sondern|but das|the ist|is ein|a Jude|Jew der|the s|[s] inwendig|by verborgen|[verborgen] ist|is und|also die|the Beschneidung|circumcision des|of-the Herzens|heart ist|is eine|a Beschneidung|[Beschneidung] die|the im|by Geist|Spirit und|and nicht|no im|in-the Buchstaben|letter geschieht|[geschieht] Eines|one solchen|which Lob|praise ist|is nicht|no aus|of Menschen|man sondern|but aus|of Gott|god
3:1	Was|what haben|have denn|therefore die|the Juden|Jew für|for Vorteil|more oder|or was|what nützt|profit die|the Beschneidung|circumcision
3:2	Fürwahr|after sehr|very viel|many Zum|as-a ersten|first ihnen|them ist|is vertraut|believe was|what Gott|god geredet|oracle hat|has
3:3	Daß|that aber|and etliche|certain nicht|not daran|by-this glauben|believe was|what liegt|lies daran|if Sollte|destroy ihr|you Unglaube|[Unglaube] Gottes|god Glauben|faith aufheben|destroy
3:4	Das|the sei|be ferne|not Es|it bleibe|stay vielmehr|and also|so daß|that Gott|god sei|be wahrhaftig|indeed und|and alle|all Menschen|man Lügner|liar wie|as geschrieben|[geschrieben] steht|write “Auf|[“Auf] daß|that du|you gerecht|justify seist|are in|by deinen|thy Worten|word und|also überwindest|overcome wenn|by du|thee gerichtet|vindicated wirst|judge ”|[”]
3:5	Ist|if s|[s] aber|and also|so daß|that unsere|our Ungerechtigkeit|[Ungerechtigkeit] Gottes|god Gerechtigkeit|righteousness preist|commend was|what wollen|will wir|we sagen|say Ist|is denn|for Gott|god auch|also ungerecht|[ungerecht] wenn|when er|he darüber|over-it zürnt|bring Ich|I rede|speak also|so auf|on Menschenweise|after
3:6	Das|the sei|be ferne|not Wie|how könnte|judge sonst|scattered Gott|god die|the Welt|world richten|judge
3:7	Denn|and so|if die|the Wahrheit|faithfulness Gottes|god durch|by meine|my Lüge|lie herrlicher|[herrlicher] wird|abound zu|into seinem|his Preis|glory warum|what sollte|judge ich|I denn|yet noch|still als|as Sünder|[Sünder] gerichtet|vindicated werden|judge
3:8	und|also nicht|not vielmehr|[vielmehr] also|as tun|do wie|as wir|we gelästert|[gelästert] werden|be und|also wie|as etliche|certain sprechen|say daß|that wir|us sagen|speak “Lasset|[“Lasset] uns|do Übles|evil tun|do auf|on das|that Gutes|good daraus|from-which komme|come ”|[”] welcher|which Verdammnis|judgment ist|is ganz|all recht|just
3:9	Was|what sagen|say wir|we denn|therefore nun|now Haben|have wir|we einen|a Vorteil|be better Gar|altogether keinen|no Denn|and wir|we haben|have droben|[droben] bewiesen|prove before daß|that beide|and Juden|Jew und|also Griechen|Greek alle|all unter|of der|the Sünde|sin sind|be
3:10	wie|as denn|for geschrieben|[geschrieben] steht|write “Da|[“Da] ist|is nicht|no der|the gerecht|righteous sei|be auch|also nicht|neither einer|one
3:11	Da|then ist|is nicht|no der|the verständig|discerning sei|understand da|then ist|is nicht|no der|the nach|after Gott|god frage|require
3:12	Sie|they sind|eschew alle|all abgewichen|eschew und|and allesamt|all-together untüchtig|[untüchtig] geworden|become Da|then ist|is nicht|no der|the Gutes|goodness tue|do auch|also nicht|no einer|is
3:13	Ihr|you Schlund|throat ist|is ein|a offenes|[offenes] Grab|sepulchre mit|with ihren|their Zungen|tongue handeln|do sie|they trüglich|use deceit Otterngift|poison ist|is unter|of den|the Lippen|lip
3:14	ihr|which Mund|mouth ist|is voll|full Fluchens|[Fluchens] und|also Bitterkeit|bitterness
3:15	Ihre|their Füße|foot sind|are eilend|sharp Blut|blood zu|to vergießen|shed
3:16	auf|by ihren|their Wegen|way ist|is eitel|bitter Schaden|destruction und|also Herzeleid|misery
3:17	und|also den|the Weg|way des|of-the Friedens|peace wissen|know sie|they nicht|no
3:18	Es|it ist|is keine|no Furcht|fear Gottes|god vor|before ihren|their Augen|eye ”|[”]
3:19	Wir|we wissen|know aber|and daß|that was|whatsoever das|the Gesetz|law sagt|speak das|the sagt|speak es|it denen|them die|the unter|by dem|the Gesetz|law sind|are auf|on daß|that aller|all Mund|mouth verstopft|closed werde|stop und|also alle|all Welt|world Gott|god schuldig|guilty sei|be
3:20	darum|therefore daß|because kein|all Fleisch|flesh durch|of des|of-the Gesetzes|law Werke|work vor|before ihm|him gerecht|righteous sein|his kann|justify denn|and durch|by das|the Gesetz|law kommt|comes Erkenntnis|knowledge der|the Sünde|sin
3:21	Nun|now aber|and ist|is ohne|without Zutun|without des|of-the Gesetzes|law die|the Gerechtigkeit|righteousness die|the vor|before Gott|god gilt|[gilt] offenbart|appear und|and bezeugt|testify durch|of das|the Gesetz|law und|also die|the Propheten|prophet
3:22	Ich|I sage|say aber|and von|from solcher|such Gerechtigkeit|righteousness vor|before Gott|god die|the da|then kommt|comes durch|by den|the Glauben|faith an|to Jesum|Jesus Christum|Christ zu|into allen|all und|also auf|on alle|all die|the da|then glauben|believe
3:23	Denn|and es|it ist|is hier|here kein|no Unterschied|difference sie|they sind|are allzumal|all Sünder|[Sünder] und|also mangeln|lack des|of-the Ruhmes|glory den|the sie|they bei|with Gott|god haben|have sollten|should
3:24	und|and werden|justify ohne|without Verdienst|freely gerecht|justify aus|from seiner|his Gnade|grace durch|by die|the Erlösung|[Erlösung] so|then durch|by Jesum|Jesus Christum|Christ geschehen|happened ist|is
3:25	welchen|which Gott|god hat|has vorgestellt|purpose zu|to einem|a Gnadenstuhl|propitiation durch|by den|the Glauben|faith in|by seinem|his Blut|blood damit|into er|he die|the Gerechtigkeit|righteousness die|the vor|before ihm|him gilt|[gilt] darbiete|proof in|in dem|the daß|by er|he Sünde|sin vergibt|remission welche|which bisher|since geblieben|[geblieben] war|bepast unter|by göttlicher|god Geduld|[Geduld]
3:26	auf|on daß|unto er|he zu|by diesen|now Zeiten|time darböte|proof die|the Gerechtigkeit|righteousness die|the vor|before ihm|him gilt|[gilt] auf|on daß|into er|he allein|only gerecht|righteous sei|be und|also gerecht|justify mache|make den|the der|the da|then ist|is des|of-the Glaubens|faith an|of Jesum|Jesus
3:27	Wo|where bleibt|boasting nun|therefore der|the Ruhm|boasting Er|he ist|is ausgeschlossen|exclude Durch|by das|what Gesetz|law Durch|through der|the Werke|work Gesetz|instructions Nicht|not also|not sondern|but durch|by des|of-the Glaubens|law Gesetz|faith
3:28	So|therefore halten|think wir|we nun|now dafür|[dafür] daß|that der|the Mensch|man gerecht|righteous werde|justify ohne|without des|of-the Gesetzes|law Werke|work allein|only durch|through den|the Glauben|faith
3:29	Oder|or ist|is Gott|or allein|only der|the Juden|Jew Gott|god Ist|is er|he nicht|not auch|and der|the Heiden|Gentiles Gott|God Ja|yea freilich|[freilich] auch|also der|the Heiden|Gentiles Gott|God
3:30	Sintemal|seeing es|it ist|is ein|a einiger|one Gott|god der|which da|then gerecht|righteous macht|justify die|the Beschnittenen|circumcision aus|of dem|the Glauben|faith und|also die|the Unbeschnittenen|[Unbeschnittenen] durch|by den|the Glauben|faith
3:31	Wie|as Heben|destroy wir|we denn|therefore das|the Gesetz|law auf|destroy durch|by den|the Glauben|faith Das|the sei|be ferne|not sondern|but wir|we richten|stand das|the Gesetz|law auf|stand
4:1	Was|what sagen|say wir|we denn|therefore von|from unserm|our Vater|Father Abraham|Abraham daß|that er|he gefunden|found habe|find nach|after dem|the Fleisch|flesh
4:2	Das|the sagen|say wir|and Ist|justify Abraham|Abraham durch|of die|the Werke|work gerecht|justify so|then hat|have er|he wohl|well Ruhm|rejoicing aber|but nicht|no vor|unto Gott|god
4:3	Was|what sagt|speak denn|and die|the Schrift|scripture “|[“] Abraham|Abraham hat|believe Gott|god geglaubt|believe und|also das|the ist|is ihm|him zur|into Gerechtigkeit|righteousness gerechnet|think ”|[”]
4:4	Dem|the aber|and der|the mit|with Werken|works umgeht|work wird|think der|the Lohn|reward nicht|no aus|after Gnade|grace zugerechnet|think sondern|but aus|after Pflicht|debt
4:5	Dem|the aber|and der|the nicht|not mit|with Werken|works umgeht|work glaubt|believe aber|and an|on den|the der|the die|the Gottlosen|wicked gerecht|righteous macht|justify dem|the wird|think sein|his Glaube|faith gerechnet|think zur|into Gerechtigkeit|righteousness
4:6	Nach|after welcher|which Weise|as auch|also David|David sagt|speak daß|that die|the Seligkeit|blessedness sei|be allein|only des|of-the Menschen|man welchem|which Gott|god zurechnet|think die|the Gerechtigkeit|righteousness ohne|without Zutun|without der|the Werke|work da|then er|he spricht|it-is-said
4:7	“|[“] Selig|blessed sind|are die|the welchen|which ihre|their Ungerechtigkeiten|[Ungerechtigkeiten] vergeben|spare sind|are und|also welchen|which ihre|their Sünden|sins bedeckt|covered sind|are
4:8	Selig|blessed ist|is der|the Mann|man welchem|which Gott|Lord die|the Sünde|sin nicht|not zurechnet|think ”|[”]
4:9	Nun|therefore diese|this Seligkeit|blessedness geht|goes sie|they über|on die|the Beschnittenen|circumcision oder|or auch|also über|on die|the Unbeschnittenen|[Unbeschnittenen] Wir|we müssen|speak ja|and sagen|speak daß|that Abraham|Abraham sei|think sein|his Glaube|faith zur|into Gerechtigkeit|righteousness gerechnet|think
4:10	Wie|how ist|think er|he ihm|him denn|therefore zugerechnet|think Als|when er|he beschnitten|by oder|or als|when er|he unbeschnitten|by war|being Nicht|no als|when er|he beschnitten|by sondern|but als|when er|he unbeschnitten|by war|was
4:11	Das|also Zeichen|sign der|the Beschneidung|circumcision empfing|receive er|he zum|as-a Siegel|seal der|the Gerechtigkeit|righteousness des|of-the Glaubens|faith welchen|which er|he hatte|had als|when er|he noch|still nicht|not beschnitten|circumcised war|by auf|on daß|into er|he würde|be ein|a Vater|Father aller|all die|the da|then glauben|believe und|by nicht|not beschnitten|circumcised sind|are daß|into ihnen|them solches|this auch|also gerechnet|[gerechnet] werde|think zur|to-the Gerechtigkeit|righteousness
4:12	und|also würde|would auch|also ein|a Vater|Father der|the Beschneidung|circumcision derer|[derer] die|the nicht|no allein|only beschnitten|of sind|are sondern|but auch|also wandeln|walk in|in den|the Fußtapfen|step des|of-the Glaubens|faith welcher|which war|was in|in unserm|our Vater|Father Abraham|Abraham als|when er|he noch|still unbeschnitten|[unbeschnitten] war|by
4:13	Denn|and die|the Verheißung|promise daß|that er|he sollte|would sein|be der|the Welt|world Erbe|heir ist|is nicht|no geschehen|happened Abraham|Abraham oder|or seinem|his Samen|seed durchs|by Gesetz|law sondern|but durch|by die|the Gerechtigkeit|righteousness des|of-the Glaubens|faith
4:14	Denn|and wo|if die|the vom|of Gesetz|law Erben|heir sind|are so|then ist|make (of none effect der|the Glaube|faith nichts|make (of none effect und|also die|the Verheißung|promise ist|is abgetan|destroy
4:15	Sintemal|and das|the Gesetz|law nur|only Zorn|wrath anrichtet|work denn|and wo|where das|the Gesetz|law nicht|no ist|is da|then ist|is auch|also keine|neither Übertretung|transgression
4:16	Derhalben|by muß|must die|the Gerechtigkeit|righteousness durch|of den|the Glauben|faith kommen|come auf|on daß|that sie|they sei|be aus|after Gnaden|grace und|into die|the Verheißung|promise fest|firmly bleibe|be allem|all Samen|seed nicht|no dem|the allein|only der|the unter|of dem|the Gesetz|law ist|is sondern|but auch|also dem|the der|the des|of Glaubens|faith Abrahams|Abraham's ist|is welcher|which ist|is unser|our aller|all Vater|Father
4:17	wie|as geschrieben|[geschrieben] steht|write “Ich|[“Ich] habe|lay dich|thee gesetzt|lay zum|as-a Vater|Father vieler|many Völker|Gentiles ”|[”] vor|before Gott|god dem|which er|he geglaubt|[geglaubt] hat|believe der|the da|then lebendig|alive macht|quicken die|the Toten|dead und|also ruft|call dem|the was|what nicht|not ist|being daß|as es|it sei|being
4:18	Und|and er|which hat|has geglaubt|believe auf|on Hoffnung|hope da|then nichts|of zu|to hoffen|hope war|was auf|on daß|into er|he würde|be ein|a Vater|Father vieler|many Völker|Gentiles wie|as denn|after zu|to ihm|him gesagt|said ist|say “|[“] Also|so soll|be dein|thy Same|seed sein|be ”|[”]
4:19	Und|also er|he ward|was nicht|not schwach|[schwach] im|in-the Glauben|faith sah|consider auch|also nicht|no an|to seinem|his eigenen|himself Leib|body welcher|which schon|now erstorben|mortify war|was weil|because er|he schon|already fast|about hundertjährig|hundred years old war|be auch|also nicht|also den|the erstorbenen|deadness Leib|womb der|the Sara|Sarah
4:20	denn|and er|he zweifelte|doubt nicht|no an|into der|the Verheißung|promise Gottes|god durch|through Unglauben|[Unglauben] sondern|but ward|was stark|strengthen im|in-the Glauben|faith und|and gab|give Gott|god die|the Ehre|glory
4:21	und|also wußte|knew aufs|to-the allergewisseste|most surely believe daß|that was|which Gott|God verheißt|promise das|the kann|is er|he auch|also tun|do
4:22	Darum|wherefore ist|is s|think ihm|him auch|also zur|into Gerechtigkeit|righteousness gerechnet|think
4:23	Das|the ist|write aber|and nicht|no geschrieben|write allein|only um|for seinetwillen|by daß|that es|it ihm|him zugerechnet|[zugerechnet] ist|think
4:24	sondern|but auch|also um|by unsertwillen|us welchen|which es|it zugerechnet|[zugerechnet] werden|think soll|shall so|then wir|we glauben|believe an|on den|the der|the unsern|our HERRN|Lord Jesus|Jesus auferweckt|[auferweckt] hat|rise von|of den|the Toten|dead
4:25	welcher|which ist|deliver um|by unsrer|our Sünden|trespass willen|by dahingegeben|deliver und|also um|by unsrer|our Gerechtigkeit|justification willen|by auferweckt|rise
5:1	Nun|therefore wir|we denn|for sind|are gerecht|righteous geworden|justify durch|of den|the Glauben|faith so|then haben|have wir|we Frieden|peace mit|unto Gott|god durch|by unsern|our HERRN|Lord Jesus|Jesus Christus|Christ
