1:1	Am|on-the Anfang|beginning schuf|create Gott|God Himmel|heaven und|and Erde|earth
1:26	Und|and Gott|God sprach|said Laßt|let uns|us Menschen|man machen|make ein|a Bild|image das|the uns|us gleich|likeness sei|be die|the da|then herrschen|rule über|over die|the Fische|fish im|in-the Meer|sea und|and über|over die|the Vögel|fowl unter|under dem|the Himmel|heaven und|and über|over das|the Vieh|livestock und|and über|over die|the ganze|whole Erde|earth und|and über|over alles|all Gewürm|that creepeth das|the auf|on Erden|earth kriecht|creep
1:27	Und|and Gott|God schuf|create den|the Menschen|man ihm|him zum|as-a Bilde|image zum|as-a Bilde|image Gottes|of-God schuf|created er|create ihn|him und|create schuf|created sie|they einen|a Mann|male und|and ein|a Weib|female
1:28	Und|and Gott|God segnete|bless sie|they und|and sprach|said zu|to ihnen|them Seid|are fruchtbar|fruitful und|and mehrt|multiply euch|you und|and füllt|fill die|the Erde|earth und|and macht|subdue sie|they euch|you untertan|subdue und|and herrscht|rule über|over die|the Fische|fish im|in-the Meer|sea und|and über|over die|the Vögel|fowl unter|under dem|the Himmel|heaven und|and über|over alles|all Getier|live das|the auf|on Erden|earth kriecht|creep
1:29	Und|and Gott|God sprach|said Seht|behold da|then ich|I habe|have euch|you gegeben|put allerlei|every Kraut|herb das|the sich|himself besamt|sow auf|face der|the ganzen|whole Erde|earth und|and allerlei|every fruchtbare|fruit Bäume|tree die|the sich|himself besamen|sow zu|to eurer|be thou Speise|food
1:30	und|and allem|all Getier|live auf|on Erden|earth und|and allen|all Vögeln|fowl unter|under dem|the Himmel|heaven und|and allem|all Gewürm|creep das|the da|then lebt|soul auf|on Erden|earth daß|that sie|they allerlei|every grünes|green Kraut|herb essen|eat Und|and es|it geschah|happened also|so
1:31	Und|and Gott|God sah|see alles|all an|to was|what er|he gemacht|made hatte|make und|and siehe|behold da|then es|it war|was sehr|very gut|good Da|then ward|was aus|from Abend|even und|and Morgen|morning der|the sechste|sixth Tag|time
2:1	Also|so ward|was vollendet|consume Himmel|heaven und|and Erde|earth mit|with ihrem|her ganzen|whole Heer|host
2:2	Und|and also|so vollendete|consume Gott|God am|on-the siebenten|seventh Tage|time seine|his Werke|work die|the er|he machte|make und|and ruhte|cease am|on-the siebenten|seventh Tage|time von|from allen|all seinen|his Werken|work die|the er|he machte|make
2:3	Und|and Gott|God segnete|bless den|the siebenten|seventh Tag|time und|and heiligte|sanctify ihn|him darum|and daß|that er|he an|to demselben|to-him geruht|rested hatte|cease von|from allen|all seinen|his Werken|work die|the Gott|God schuf|create und|and machte|make
2:4	Also|so ist|is Himmel|heaven und|and Erde|earth geworden|generations da|then sie|they geschaffen|created sind|create zu|to der|the Zeit|time da|then Gott|God der|the HERR|GOD Erde|earth und|and Himmel|heaven machte|make
2:5	Und|and allerlei|every Bäume|bush auf|on dem|the Felde|field waren|were noch|still nicht|before auf|on Erden|earth und|and allerlei|every Kraut|herb auf|on dem|the Felde|field war|was noch|still nicht|before gewachsen|grow denn|and Gott|God der|the HERR|GOD hatte|rain noch|still nicht|not regnen|rain lassen|let auf|on Erden|earth und|and es|it war|was kein|no Mensch|man der|the das|the Land|land baute|serve
2:6	Aber|but ein|a Nebel|mist ging|went auf|offer von|stringed instrument der|the Erde|earth und|and feuchtete|drink alles|all Land|land
2:7	Und|and Gott|God der|the HERR|GOD machte|form den|the Menschen|man aus|from einem|a Erdenkloß|dust-of-the-ground uns|us blies|blow ihm|him ein|a den|the lebendigen|live Odem|breath in|in seine|his Nase|nostrils Und|and also|so ward|was der|the Mensch|man eine|a lebendige|live Seele|soul
2:8	Und|and Gott|God der|the HERR|GOD pflanzte|plant einen|a Garten|garden in|in Eden|Eden gegen|toward Morgen|east und|and setzte|put den|the Menschen|man hinein|in it den|the er|he gemacht|made hatte|form
2:9	Und|and Gott|God der|the HERR|GOD ließ|had aufwachsen|grow aus|stringed instrument der|the Erde|earth allerlei|every Bäume|tree lustig|desire anzusehen|appearance und|and gut|good zu|to essen|meat und|and den|the Baum|tree des|of-the Lebens|live mitten|midst im|in-the Garten|garden und|and den|the Baum|tree der|the Erkenntnis|knowledge des|of-the Guten|good und|and Bösen|evil
2:10	Und|and es|it ging|went aus|bring von|from Eden|Eden ein|a Strom|river zu|to wässern|drink den|the Garten|garden und|and er|he teilte|separate sich|himself von|from da|then in|in vier|four Hauptwasser|head
2:11	Das|the erste|first heißt|name Pison|Pison das|he fließt|flows um|compass das|the ganze|whole Land|land Hevila|Havilah und|and daselbst|there findet|is man|one Gold|gold
2:12	Und|and das|the Gold|gold des|he Landes|land ist|is köstlich|good und|and da|then findet|is man|one Bedellion|bdellium und|and den|the Edelstein|precious-stone Onyx|onyx
2:13	Das|the andere|second Wasser|river heißt|name Gihon|Gihon das|the fließt|flows um|compass um|for das|the ganze|whole Mohrenland|Ethiopia
2:14	Das|the dritte|third Wasser|river heißt|name Hiddekel|Hiddekel das|the fließt|go vor|east Assyrien|Assyria Das|the vierte|fourth Wasser|river ist|is der|the Euphrat|Euphrates
2:15	Und|and Gott|God der|the HERR|GOD nahm|take den|the Menschen|man und|and setzte|sat ihn|leave in|in den|the Garten|garden Eden|Eden daß|that er|he ihn|him baute|serve und|and bewahrte|keep
2:16	Und|and Gott|God der|the HERR|GOD gebot|command dem|the Menschen|man und|and sprach|said Du|you sollst|shall essen|eat von|from allerlei|every Bäumen|tree im|in-the Garten|garden
2:17	aber|but von|from dem|the Baum|tree der|the Erkenntnis|knowledge des|of-the Guten|good und|and des|of-the Bösen|evil sollst|shall du|you nicht|not essen|eat denn|for welches|in-the Tages|day du|you davon|from-it ißt|eat wirst|will du|you des|of-the Todes|DEATH sterben|DIE
2:18	Und|and Gott|God der|the HERR|GOD sprach|said Es|it ist|is nicht|not gut|good daß|that der|the Mensch|man allein|only sei|be thou ich|I will|will ihm|him eine|a Gehilfin|help machen|make die|the um|for ihn|him sei|be
2:19	Denn|for als|when Gott|God der|the HERR|GOD gemacht|made hatte|form von|from der|the Erde|earth allerlei|every Tiere|live auf|on dem|the Felde|field und|and allerlei|every Vögel|fowl unter|under dem|the Himmel|heaven brachte|brought er|he sie|they zu|to dem|the Menschen|man daß|that er|he sähe|see wie|as er|he sie|they nennte|call denn|for der|the wie|as Mensch|man allerlei|every lebendige|live Tiere|soul nennen|called würde|call so|he sollten|should sie|they heißen|name
2:20	Und|and der|the Mensch|man gab|call einem|a jeglichen|one Vieh|livestock und|and Vogel|fowl unter|under dem|the Himmel|heaven und|and Tier|live auf|on dem|the Felde|field seinen|his Namen|name aber|but für|for den|the Menschen|man ward|find keine|no Gehilfin|help gefunden|found die|the um|for ihn|him wäre|was
2:21	Da|then ließ|had Gott|God der|the HERR|GOD einen|a tiefen|deep Schlaf|deep sleep fallen|fall auf|on den|the Menschen|man und|and er|he schlief|sleep ein|a Und|and er|he nahm|take seiner|his Rippen|side eine|a und|and schloß|shut die|the Stätte|place zu|to mit|with Fleisch|flesh
2:22	Und|and Gott|God der|the HERR|GOD baute|build ein|a Weib|wife aus|from der|the Rippe|side die|the er|he vom|from-the Menschen|man nahm|take und|and brachte|brought sie|they zu|to ihm|him
2:23	Da|then sprach|said der|the Mensch|man Das|hereby (-in ist|is doch|once Bein|bone von|from meinem|my Bein|bone und|and Fleisch|flesh von|from meinem|my Fleisch|flesh man|one wird|will sie|hereby (-in Männin|woman heißen|call darum|therefore daß|hereby (-in sie|they vom|from-the Manne|man genommen|taken ist|take
2:24	Darum|prepare wird|will ein|a Mann|man Vater|father und|and Mutter|mother verlassen|forsake und|and an|to seinem|his Weibe|wife hangen|cleave und|and sie|they werden|be sein|his ein|a Fleisch|flesh
2:25	Und|and sie|they waren|were beide|two nackt|naked der|the Mensch|man und|and das|the Weib|wife und|and schämten|ashamed sich|himself nicht|not
3:1	Und|and die|the Schlange|serpent war|be thou listiger|prudent denn|for alle|all Tiere|live auf|on dem|the Felde|field die|the Gott|God der|the HERR|GOD gemacht|made hatte|make und|and sprach|said zu|to dem|the Weibe|wife Ja|yes sollte|would Gott|God gesagt|said haben|have Ihr|you sollt|shall nicht|not essen|eat von|from den|the Früchten|fruit der|the Bäume|tree im|in-the Garten|garden
3:2	Da|then sprach|said das|the Weib|wife zu|to der|the Schlange|serpent Wir|we essen|eat von|from den|the Früchten|fruit der|the Bäume|tree im|in-the Garten|garden
3:3	aber|but von|from den|the Früchten|fruit des|of-the Baumes|tree mitten|midst im|in-the Garten|garden hat|has Gott|God gesagt|said Eßt|eat nicht|not davon|from-it rührt|TOUCH s|IT auch|also nicht|not an|— daß|that ihr|you nicht|not sterbt|die
3:4	Da|then sprach|said die|the Schlange|serpent zum|to-the Weibe|woman Ihr|you werdet|will mitnichten|NOT des|of-the Todes|DEATH sterben|DIE
3:5	sondern|but Gott|God weiß|know daß|that welches|in-the Tages|time ihr|you davon|from-which eßt|eat so|then werden|open eure|your Augen|eye aufgetan|open und|and werdet|will sein|his wie|as Gott|God und|and wissen|know was|what gut|good und|and böse|evil ist|is
3:6	Und|and das|the Weib|wife schaute|saw an|see daß|that von|from dem|the Baum|tree gut|good zu|to essen|meat wäre|was und|and daß|that er|he lieblich|desire anzusehen|eye und|and ein|a lustiger|desire Baum|tree wäre|was weil|because er|he klug|wisdom machte|understand und|and sie|they nahm|take von|from der|the Frucht|fruit und|and aß|ate und|and gab|put ihrem|her Mann|man auch|also davon|from-which und|and er|he aß|ate
3:7	Da|girdle wurden|were ihrer|their beiden|two Augen|eye aufgetan|open und|and sie|walk wurden|were gewahr|know daß|that sie|they nackt|naked waren|were und|and flochten|sewed Feigenblätter|fig zusammen|leaf und|and machten|sew sich|himself Schürze|make
3:8	Und|and sie|they hörten|hear die|the Stimme|voice Gottes|of-God des|of-the HERRN|GOD der|the im|in-the Garten|garden ging|go da|then der|the Tag|time kühl|wind geworden|become war|was Und|and Adam|the-man versteckte|hid sich|hide mit|with seinem|his Weibe|wife vor|before dem|the Angesicht|face Gottes|of-God des|of-the HERRN|GOD unter|midst die|the Bäume|tree im|in-the Garten|garden
3:9	Und|and Gott|God der|the HERR|GOD rief|call Adam|the-man und|and sprach|said zu|to ihm|him Wo|where bist|are du|you
3:10	Und|and er|he sprach|said Ich|I hörte|hear deine|your Stimme|voice im|in-the Garten|garden und|and fürchtete|fear mich|me denn|for ich|I bin|am nackt|naked darum|therefore versteckte|hid ich|I mich|hide
3:11	Und|and er|he sprach|said Wer|who hat|has dir|you s|IT gesagt|told daß|that du|you nackt|naked bist|are Hast|have du|you nicht|not gegessen|eaten von|from dem|the Baum|tree davon|from-which ich|I dir|you gebot|commanded du|you solltest|should nicht|not davon|from-it essen|eat
3:12	Da|then sprach|said Adam|the-man Das|the Weib|woman das|the du|you mir|to-me zugesellt|gave hast|— gab|gave mir|me von|from dem|the Baum|tree und|and ich|I aß|ate
3:13	Da|then sprach|said Gott|God der|the HERR|GOD zum|as-a Weibe|wife Warum|why hast|have du|you das|the getan|make Das|the Weib|wife sprach|said Die|the Schlange|serpent betrog|deceive mich|me also|so daß|that ich|I aß|ate
3:14	Da|then sprach|said Gott|God der|the HERR|GOD zu|to der|the Schlange|serpent Weil|because du|you solches|this getan|done hast|make seist|are du|you verflucht|cursed vor|before allem|all Vieh|livestock und|and vor|before allen|all Tieren|live auf|on dem|the Felde|field Auf|on deinem|your Bauche|belly sollst|shall du|you gehen|go und|and Erde|dust essen|eat dein|your Leben|live lang|time
3:15	Und|and ich|I will|will Feindschaft|enmity setzen|set zwischen|between dir|you und|and dem|the Weibe|wife und|and zwischen|between deinem|your Samen|seed und|and ihrem|her Samen|seed Derselbe|he soll|shall dir|you den|the Kopf|head zertreten|bruise und|and du|you wirst|will ihn|him in|in die|the Ferse|heel stechen|bruise
3:16	Und|and zum|as-a Weibe|wife sprach|said er|he Ich|I will|will dir|you viel|multiply Schmerzen|sorrow schaffen|multiply wenn|when du|you schwanger|conception wirst|will du|you sollst|shall mit|with Schmerzen|sorrow Kinder|old gebären|beget und|and dein|your Verlangen|desire soll|shall nach|after deinem|your Manne|man sein|his und|and er|he soll|shall dein|your Herr|LORD sein|rule
3:17	Und|and zu|to Adam|the-man sprach|said er|he Dieweil|since du|you hast|have gehorcht|hear der|the Stimme|voice deines|your Weibes|wife und|and hast|have gegessen|eaten von|from dem|the Baum|tree davon|from-which ich|I dir|you gebot|command und|and sprach|said Du|you sollst|shall nicht|not davon|from-which essen|eat verflucht|cursed sei|be der|the Acker|field um|for deinetwillen|your-sake mit|with Kummer|sorrow sollst|shall du|you dich|you darauf|on-it nähren|eat dein|your Leben|live lang|time
3:18	Dornen|thorn und|and Disteln|thistle soll|shall er|he dir|you tragen|grow und|and sollst|shall das|the Kraut|herb auf|on dem|the Felde|field essen|eat
3:19	Im|in-the Schweiße|sweat deines|your Angesichts|face sollst|shall du|you dein|your Brot|bread essen|eat bis|ever daß|that du|you wieder|back zu|to Erde|earth werdest|return davon|from-which du|you genommen|taken bist|take Denn|for du|you bist|are Erde|dust und|and sollst|shall zu|to Erde|dust werden|return
3:20	Und|and Adam|the-man hieß|name sein|his Weib|wife Eva|Eve darum|therefore daß|that sie|they eine|a Mutter|mother ist|is aller|all Lebendigen|live
3:21	Und|and Gott|God der|the HERR|GOD machte|make Adam|the-man und|and seinem|his Weibe|wife Röcke|coat von|from Fellen|skin und|and kleidete|clothe sie|they
3:22	Und|and Gott|God der|the HERR|GOD sprach|said Siehe|behold Adam|the-man ist|is geworden|become wie|as unsereiner|one-of-us und|and weiß|know was|what gut|good und|and böse|evil ist|is Nun|now aber|but daß|that er|he nicht|not ausstrecke|send seine|his Hand|by und|and breche|take auch|also von|from dem|the Baum|tree des|of-the Lebens|live und|and esse|eat und|and lebe|live ewiglich|ever
3:23	Da|then wies|send ihn|him Gott|God der|the HERR|GOD aus|from dem|the Garten|garden Eden|Eden daß|that er|he das|the Feld|land baute|serve davon|from-which er|he genommen|taken ist|take
3:24	und|and trieb|divorced Adam|the-man aus|divorced und|and lagerte|dwell vor|east den|the Garten|garden Eden|Eden die|the Cherubim|cherubims mit|with dem|the bloßen|flaming hauenden|turn Schwert|sword zu|to bewahren|keep den|the Weg|way zu|to dem|the Baum|tree des|of-the Lebens|live
4:1	Und|and Adam|the-man erkannte|know sein|his Weib|wife Eva|Eve und|and sie|they ward|was schwanger|conceive und|and gebar|beget den|the Kain|Cain und|and sprach|said Ich|I habe|have einen|a Mann|man gewonnen|Buy mit|with dem|the HERRN|GOD
4:2	Und|and sie|they fuhr|went fort|more und|and gebar|beget Abel|Abel seinen|his Bruder|brother Und|and Abel|Abel ward|was ein|a Schäfer|feed Kain|Cain aber|but ward|was ein|a Ackermann|worker-of-the-ground
4:3	Es|it begab|happened sich|— nach|after etlicher|some Zeit|time daß|that Kain|Cain dem|the HERRN|GOD Opfer|offering brachte|brought von|from den|the Früchten|fruit des|of-the Feldes|field
4:4	und|and Abel|Abel brachte|brought auch|he von|from den|the Erstlingen|birthright seiner|his Herde|flock und|and von|from ihrem|her Fett|fat Und|and der|the HERR|GOD sah|saw gnädig|for an|look Abel|Abel und|and sein|his Opfer|offering
4:5	aber|but Kain|Cain und|and sein|his Opfer|offering sah|look er|he nicht|not gnädig|for an|look Da|then ergrimmte|kindled Kain|Cain sehr|very und|and seine|his Gebärde|face verstellte|fell sich|fall
4:6	Da|then sprach|said der|the HERR|GOD zu|to Kain|Cain Warum|why ergrimmst|kindled du|you und|and warum|why verstellt|fall sich|himself deine|your Gebärde|face
4:7	Ist|is s|IT nicht|not also|so Wenn|when du|you fromm|do-well bist|— so|then bist|are du|you angenehm|accepted bist|— du|you aber|but nicht|not fromm|do-well so|then ruht|lies die|the Sünde|sin vor|before der|the Tür|door und|and nach|after dir|you hat|has sie|it Verlangen|desire du|you aber|but herrsche|rule über|over sie|it
4:8	Da|then redete|spoke Kain|Cain mit|with seinem|his Bruder|brother Abel|Abel Und|and es|it begab|happened sich|himself da|then sie|they auf|on dem|the Felde|field waren|were erhob|arise sich|himself Kain|Cain wider|against seinen|his Bruder|brother Abel|Abel und|and schlug|pitched ihn|him tot|slay
4:9	Da|then sprach|said der|the HERR|GOD zu|to Kain|Cain Wo|where ist|is dein|your Bruder|brother Abel|Abel Er|he sprach|said Ich|I weiß|know nicht|not soll|shall ich|I meines|my Bruders|brother Hüter|keeper sein|keep
4:10	Er|he aber|but sprach|said Was|what hast|have du|you getan|make Die|the Stimme|voice des|of-the Bluts|blood deines|your Bruders|brother schreit|cry zu|to mir|me von|from der|the Erde|earth
4:11	Und|and nun|now verflucht|cursed seist|are du|you auf|on der|the Erde|earth die|the ihr|you Maul|mouth hat|has aufgetan|open und|and deines|your Bruders|brother Blut|blood von|from deinen|your Händen|by empfangen|take
4:12	Wenn|and du|you den|the Acker|field bauen|build wirst|serve soll|shall er|he dir|you hinfort|never sein|his Vermögen|strength nicht|more geben|put Unstet|shake und|and flüchtig|bemoan sollst|shall du|you sein|his auf|on Erden|earth
4:13	Kain|Cain aber|but sprach|said zu|to dem|the HERRN|GOD Meine|my Sünde|iniquity ist|is größer|great denn|for daß|that sie|they mir|me vergeben|spare werden|be möge|bear
4:14	Siehe|behold du|you treibst|drive mich|me heute|today aus|from dem|the Lande|land und|and ich|I muß|must mich|me vor|from deinem|your Angesicht|face verbergen|hide und|and muß|must unstet|fugitive und|and flüchtig|vagabond sein|be auf|on Erden|earth So|then wird|will mir|me s|IT gehen|be daß|that mich|me totschlage|slay wer|whoever mich|me findet|finds
4:15	Aber|but der|the HERR|GOD sprach|said zu|to ihm|him Nein|no sondern|prepare wer|who Kain|Cain totschlägt|slay das|the soll|shall siebenfältig|sevenfold gerächt|vengeance werden|avenge Und|and der|the HERR|GOD machte|put ein|a Zeichen|sign an|to Kain|Cain daß|that ihn|him niemand|because un erschlüge|smite wer|who ihn|him fände|find
4:16	Also|so ging|went Kain|Cain von|bring dem|the Angesicht|face des|of-the HERRN|GOD und|and wohnte|dwell im|in-the Lande|land Nod|Nod jenseit|east Eden|Eden gegen|toward Morgen|east
4:17	Und|and Kain|Cain erkannte|know sein|his Weib|wife die|the ward|was schwanger|conceive und|and gebar|beget den|the Henoch|Enoch Und|and er|he baute|build eine|a Stadt|town die|the nannte|call er|town nach|after seines|his Sohnes|old Namen|name Henoch|Enoch
4:18	Henoch|Enoch aber|but zeugte|beget Irad|Irad Irad|Irad zeugte|beget Mahujael|Mehujael Mahujael|Mehujael zeugte|beget Methusael|Methusael Methusael|Methusael zeugte|beget Lamech|Lamech
4:19	Lamech|Lamech aber|but nahm|took zwei|two Weiber|wives eine|one hieß|was-named Ada|Adah die|the andere|other Zilla|Zillah
4:20	Und|and Ada|Adah gebar|beget Jabal|Jabal von|from dem|the sind|are hergekommen|those die|the in|in Hütten|tents wohnten|dwell und|and Vieh|cattle zogen|went
4:21	Und|and sein|his Bruder|brother hieß|name Jubal|Jubal von|from dem|the sind|are hergekommen|those die|the Geiger|harp und|and Pfeifer|organ
4:22	Die|the Zilla|Zillah aber|but gebar|bore auch|also nämlich|namely den|the Thubalkain|Tubalcain den|the Meister|instructor in|in allerlei|every Erz-|BRASS und|and Eisenwerk|iron Und|and die|the Schwester|sister des|of-the Thubalkain|Tubalcain war|was Naema|Naamah
4:23	Und|and Lamech|Lamech sprach|said zu|to seinen|his Weibern|wives Ada|Adah und|and Zilla|Zillah Ihr|you Weiber|wives Lamechs|Lamech hört|hear meine|my Rede|voice und|and merkt|listen was|what ich|I sage|say Ich|I habe|slay einen|a Mann|man erschlagen|slay für|for meine|my Wunde|wound und|and einen|a Jüngling|child für|for meine|my Beule|stripe
4:24	Kain|Cain soll|shall siebenmal|sevenfold gerächt|vengeance werden|avenge aber|but Lamech|Lamech siebenundsiebzigmal|seven
4:25	Adam|the-man erkannte|know abermals|testify sein|his Weib|wife und|and sie|they gebar|beget einen|a Sohn|old den|the hieß|name sie|they Seth|Seth denn|for Gott|God hat|has mir|me sprach|said sie|they einen|a andern|another Samen|seed gesetzt|set für|Toah Abel|Abel den|the Kain|Cain erwürgt|killed hat|slay
4:26	Und|and Seth|Seth zeugte|beget auch|he einen|a Sohn|old und|and hieß|name ihn|him Enos|Enosh Zu|to der|the Zeit|time fing|began man|begin an|to zu|to predigen|call von|from des|of-the HERRN|GOD Namen|name
5:1	Dies|this ist|is das|the Buch|book von|from des|of-the Menschen|man Geschlecht|generations Da|time Gott|God den|the Menschen|man schuf|create machte|made er|make ihn|him nach|after dem|the Bilde|likeness Gottes|of-God
5:2	und|and schuf|create sie|they einen|a Mann|male und|and ein|a Weib|female und|and segnete|bless sie|they und|and hieß|call ihren|their Namen|name Mensch|man zur|to-the Zeit|time da|then sie|they geschaffen|created wurden|create
5:3	Und|and Adam|the-man war|live hundertunddreißig|thirty Jahre|year alt|live und|and zeugte|beget einen|a Sohn|son der|the seinem|his Bild|image ähnlich|likeness war|was und|and hieß|name ihn|him Seth|Seth
5:4	und|and lebte|time darnach|after achthundert|hundred Jahre|year und|and zeugte|beget Söhne|old und|and Töchter|daughter
5:5	daß|that sein|his ganzes|all Alter|live ward|was neunhundertunddreißig|thirty Jahre|year und|and starb|die
5:6	Seth|Seth war|live hundertundfünf|five Jahre|year alt|live und|and zeugte|beget Enos|Enosh
5:7	und|Seth lebte|live darnach|after achthundertundsieben|seven Jahre|year und|and zeugte|beget Söhne|old und|and Töchter|daughter
5:8	daß|Seth sein|his ganzes|all Alter|time ward|was neunhundertundzwölf|nine Jahre|year und|and starb|die
5:9	Enos|Enosh war|live neunzig|ninety Jahre|year alt|live und|and zeugte|beget Kenan|Cainan
5:10	und|and lebte|live darnach|after achthundertundfünzig|eight Jahre|year und|and zeugte|beget Söhne|old und|and Töchter|daughter
5:11	daß|that sein|his ganzes|all Alter|time ward|was neunhundertundfünf|nine Jahre|year und|and starb|die
5:12	Kenan|Cainan war|live siebzig|seventy Jahre|year alt|live und|and zeugte|beget Mahalaleel|Mahalaleel
5:13	und|Cainan lebte|live darnach|after achthundertundvierzig|eight Jahre|year und|and zeugte|beget Söhne|old und|and Töchter|daughter
5:14	daß|Shelemiah sein|his ganzes|all Alter|time ward|was neunhundertundzehn|nine Jahre|year und|and starb|die
5:15	Mahalaleel|Mahalaleel war|live fünfundsechzig|five Jahre|year und|and zeugte|beget Jared|Jared
5:16	und|Mahalaleel lebte|live darnach|after achthundertunddreißig|eight Jahre|year und|and zeugte|beget Söhne|old und|and Töchter|daughter
5:17	daß|Mahalaleel sein|his ganzes|all Alter|time ward|was achthundert|eight und|and fünfundneunzig|five Jahre|year und|and starb|die
